Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,349/247,45/36,232/164,35/17,28/27,9/3
2024,0/7,0/2,0/5,-,-,-
2021,18/20,3/4,10/13,5/3,-,-
2020,10/5,-,6/5,-,-,4/0
2019,28/24,8/4,17/14,1/2,0/3,2/1
2018,49/20,7/6,39/12,-,3/2,-
2017,28/17,8/4,20/11,0/1,0/1,-
2016,23/31,0/6,18/19,-,4/5,1/1
2015,32/30,6/2,22/20,0/2,2/5,2/1
2014,31/23,13/7,16/12,2/1,0/3,-
2013,24/20,0/1,17/15,4/2,3/2,-
2012,43/22,-,20/16,14/3,9/3,-
2011,32/19,-,22/14,3/2,7/3,-
2010,15/4,-,9/3,6/1,-,-
2009,16/4,-,16/4,-,-,-
2008,0/1,-,0/1,-,-,-
