Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,53/60,43/42,7/7,-,-,3/11
2024,27/17,26/13,-,-,-,1/4
2023,16/21,7/8,7/6,-,-,2/7
2022,2/6,2/6,-,-,-,-
2021,7/12,7/11,0/1,-,-,-
2019,1/2,1/2,-,-,-,-
2018,0/2,0/2,-,-,-,-
