Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,65/51,20/13,44/29,1/6,-,0/3
2024,5/5,3/3,2/2,-,-,-
2023,17/8,7/1,9/5,1/2,-,-
2022,9/8,-,9/5,-,-,0/3
2021,7/10,0/3,7/7,-,-,-
2020,7/5,2/1,5/2,0/2,-,-
2019,13/12,8/5,5/5,0/2,-,-
2018,7/3,-,7/3,-,-,-
