Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,43/37,38/32,-,-,-,5/5
2024,16/14,16/14,-,-,-,-
2023,18/15,15/13,-,-,-,3/2
2022,9/8,7/5,-,-,-,2/3
