Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Monastir (Tunisia),hard,header
11.09. 23:55,Parry D.,0,4,4,,,,6,1,62%,67% (28/42),46% (12/26),50% (3/6),36% (25/70),50% (12/24),8% (1/13),4,59% (40/68),39% (37/94),48% (77/162),1,70% (7/10),10% (1/10),40% (8/20),"['3', '3']",[],[],[],[],1.77
11.09. 23:55,Starodubtseva Y.,2,6,6,,,,1,0,74%,64% (45/70),50% (12/24),92% (12/13),33% (14/42),54% (14/26),50% (3/6),5,61% (57/94),41% (28/68),52% (85/162),3,90% (9/10),30% (3/10),60% (12/20),"['3', '2', '4', '3']","['2', '1']",[],[],[],2.06
09.09. 20:30,Parry D.,2,6,6,,,,4,2,50%,83% (19/23),61% (14/23),75% (3/4),57% (4/7),65% (20/31),83% (5/6),17,72% (33/46),63% (24/38),68% (57/84),9,88% (7/8),71% (5/7),80% (12/15),"['2', '2', '5', '3']","['1', '0', '3', '0', '5', '0']",[],[],[],29.00
09.09. 20:30,Bechri C.,0,3,0,,,,0,1,18%,43% (3/7),35% (11/31),17% (1/6),17% (4/23),39% (9/23),25% (1/4),4,37% (14/38),28% (13/46),32% (27/84),2,29% (2/7),13% (1/8),20% (3/15),"['1', '0']",[],[],[],[],0
WTA - SINGLES :  US Open (USA),hard,header
28.08. 23:55,Parry D.,0,0,4,,,,3,2,55%,55% (16/29),50% (12/24),50% (4/8),24% (10/41),52% (16/31),0% (0/8),20,32,67% (4/6),6,53% (28/53),36% (26/72),43% (54/125),1,50% (4/8),0% (0/8),25% (4/16),1787,[],[],[],[],[],2.22
28.08. 23:55,Wang Y.,2,6,6,,,,5,4,57%,76% (31/41),48% (15/31),100% (8/8),45% (13/29),50% (12/24),50% (4/8),17,22,63% (5/8),8,64% (46/72),47% (25/53),57% (71/125),6,100% (8/8),50% (4/8),75% (12/16),2087,"['1', '0', '3', '0', '5', '0']","['4', '3']",[],[],[],1.67
26.08. 20:45,Parry D.,2,7^7,7^7,,,,6,3,61%,78% (38/49),55% (17/31),50% (2/4),21% (10/48),58% (19/33),40% (2/5),22,17,75% (6/8),5,69% (55/80),36% (29/81),52% (84/161),3,83% (10/12),17% (2/12),50% (12/24),1518,"['2', '0']","['2', '3']",[],[],[],2.63
26.08. 20:45,Wang Xiy.,0,6^2,6^5,,,,9,7,59%,79% (38/48),42% (14/33),60% (3/5),22% (11/49),45% (14/31),50% (2/4),34,42,50% (8/16),6,64% (52/81),31% (25/80),48% (77/161),3,83% (10/12),17% (2/12),50% (12/24),1469,"['2', '3']","['3', '1']",[],[],[],1.50
WTA - SINGLES :  Cleveland (USA),hard,header
19.08. 20:40,Parry D.,0,3,2,,,,1,3,60%,34% (11/32),43% (9/21),36% (4/11),36% (10/28),57% (8/14),100% (3/3),3,38% (20/53),43% (18/42),40% (38/95),2,22% (2/9),38% (3/8),29% (5/17),"['2', '4', '3', '5']","['2', '3']",[],[],[],2.40
