Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
02.08.,Perot R.,2,,,,,,[],"['2', '2', '4', '4']","['2', '1', '4', '1']",[],[],1.91
02.08.,Siniakov D.,1,,,,,,"['5', '3']","['1', '0', '3', '2']","['3', '5', '5', '5']",[],[],1.79
31.07.,Siniakov D.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],1.23
31.07.,Leite W.,0,,,,,,[],"['1', '3']",[],[],[],3.81
30.07.,Siniakov D.,2,,,,,,"['5', '5']","['1', '0', '4', '1', '6', '1']",[],[],[],1.54
30.07.,Popovic S.,0,,,,,,"['3', '2']",[],[],[],[],2.35
26.07.,Loge J.,2,,,,,,"['2', '1', '4', '1']","['1', '0']",[],[],[],2.20
26.07.,Siniakov D.,0,,,,,,[],[],[],[],[],1.61
25.07.,Siniakov D.,2,,,,,,"['1', '1', '3', '1', '5', '1']","['1', '0', '4', '1', '6', '5']",[],[],[],3.91
25.07.,Torres J. B.,0,,,,,,"['1', '0']","['2', '4', '5', '5']",[],[],[],1.22
24.07.,Siniakov D.,2,,,,,,"['4', '3', '6', '5']","['1', '2', '4', '5']",[],[],[],1.70
24.07.,Gerch L.,0,,,,,,"['4', '4']","['2', '0', '5', '3']",[],[],[],2.03
23.07.,Siniakov D.,2,,,,,,"['2', '0', '4', '0']","['5', '4']",[],[],[],2.28
23.07.,Broska F.,0,,,,,,[],"['5', '5']",[],[],[],1.57
