Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,641/377,77/59,372/194,189/119,3/5,-
2024,38/27,1/2,29/15,7/9,1/1,-
2023,45/34,3/4,21/14,20/14,1/2,-
2022,44/33,0/2,12/12,31/17,1/2,-
2021,68/26,23/8,19/8,26/10,-,-
2020,71/28,-,62/23,9/5,-,-
2019,46/30,11/11,16/9,19/10,-,-
2018,37/31,10/9,18/15,9/7,-,-
2017,59/28,0/1,59/27,-,-,-
2016,46/27,-,33/17,13/10,-,-
2015,40/21,9/4,16/12,15/5,-,-
2014,39/14,4/2,35/12,-,-,-
2013,1/3,-,1/3,-,-,-
2012,50/29,0/1,32/16,18/12,-,-
2011,30/18,8/5,11/5,11/8,-,-
2010,22/20,8/8,8/5,6/7,-,-
2009,4/6,0/2,0/1,4/3,-,-
2008,1/2,-,-,1/2,-,-
