Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Saint Brieuc (France),hard,header
17.10. 20:10,Edmund K.,2,4,6,6,,,9,4,56%,76% (34/45),51% (18/35),25% (1/4),29% (14/49),77% (17/22),71% (5/7),7,65% (52/80),44% (31/71),55% (83/151),5,79% (11/14),38% (5/13),59% (16/27),"['1', '1']","['1', '1', '4', '2']","['3', '2', '5', '2']",[],[],1.86
15.10. 16:40,Escoffier A.,2,6,6,,,,3,5,48%,91% (21/23),36% (9/25),67% (2/3),56% (14/25),68% (15/22),50% (6/12),7,63% (30/48),62% (29/47),62% (59/95),9,86% (6/7),86% (6/7),86% (12/14),"['1', '0', '2', '1', '5', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.46
15.10. 16:40,Gerasimov E.,0,2,0,,,,2,2,53%,44% (11/25),32% (7/22),50% (6/12),9% (2/23),64% (16/25),33% (1/3),4,38% (18/47),38% (18/48),38% (36/95),1,14% (1/7),14% (1/7),14% (2/14),"['1', '1']",[],[],[],[],2.59
CHALLENGER MEN - SINGLES :  Roanne (France),hard,header
07.10. 20:35,Escoffier A.,0,6^4,3,,,,2,3,46%,57% (17/30),54% (19/35),50% (3/6),35% (14/40),46% (17/37),40% (2/5),5,55% (36/65),40% (31/77),47% (67/142),3,70% (7/10),18% (2/11),43% (9/21),"['3', '3', '6', '6']",[],[],[],[],1.51
07.10. 20:35,Travaglia S.,2,7^7,6,,,,5,5,52%,65% (26/40),54% (20/37),60% (3/5),43% (13/30),46% (16/35),50% (3/6),8,60% (46/77),45% (29/65),53% (75/142),3,82% (9/11),30% (3/10),57% (12/21),"['2', '1', '6', '5']","['4', '2']",[],[],[],2.46
CHALLENGER MEN - SINGLES :  Mouilleron-Le-Captif (France),hard,header
04.10. 00:05,Escoffier A.,1,6,2,3,,,7,3,67%,54% (31/57),61% (17/28),58% (7/12),29% (17/59),49% (20/41),21% (3/14),6,56% (48/85),37% (37/100),46% (85/185),3,62% (8/13),21% (3/14),41% (11/27),"['1', '0', '4', '1']",[],"['1', '2']",[],[],1.50
04.10. 00:05,Gueymard Wayenburg S.,2,4,6,6,,,14,8,59%,71% (42/59),51% (21/41),79% (11/14),46% (26/57),39% (11/28),42% (5/12),7,63% (63/100),44% (37/85),54% (100/185),6,79% (11/14),38% (5/13),59% (16/27),"['3', '5']","['4', '2', '6', '2']","['2', '0', '5', '3']",[],[],2.48
01.10. 15:30,Escoffier A.,2,6,6,,,,10,2,65%,77% (30/39),52% (11/21),100% (5/5),37% (20/54),66% (19/29),33% (3/9),6,68% (41/60),47% (39/83),56% (80/143),5,100% (9/9),38% (3/8),71% (12/17),"['3', '1']","['3', '2', '5', '2']",[],[],[],2.94
01.10. 15:30,Medjedovic H.,0,3,2,,,,8,3,65%,63% (34/54),34% (10/29),67% (6/9),23% (9/39),48% (10/21),0% (0/5),5,53% (44/83),32% (19/60),44% (63/143),1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],1.37
CHALLENGER MEN - SINGLES :  Orleans (France),hard,header
