Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,39/45,15/25,17/18,5/2,-,2/0
2024,23/20,7/10,10/8,5/2,-,1/0
2023,13/15,6/9,6/6,-,-,1/0
2022,3/9,2/5,1/4,-,-,-
2021,0/1,0/1,-,-,-,-
