Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,33/44,7/8,26/36,-,-,-
2024,9/7,-,9/7,-,-,-
2023,11/14,0/1,11/13,-,-,-
2020,0/2,-,0/2,-,-,-
2019,6/12,2/2,4/10,-,-,-
2018,6/6,4/3,2/3,-,-,-
2017,1/2,1/2,-,-,-,-
2016,0/1,-,0/1,-,-,-
