Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,489/313,104/60,294/183,45/31,46/39,-
2024,35/23,2/3,18/13,5/2,10/5,-
2023,51/28,1/3,43/21,5/2,2/2,-
2022,24/27,0/2,20/18,0/1,4/6,-
2021,36/24,1/2,15/9,12/9,8/4,-
2020,12/10,1/2,10/4,1/4,-,-
2019,52/26,8/4,39/17,1/2,4/3,-
2018,23/15,4/2,19/10,0/1,0/2,-
2017,0/1,-,0/1,-,-,-
2016,43/18,-,33/12,9/1,1/5,-
2015,36/27,8/5,24/17,3/4,1/1,-
2014,38/24,8/5,15/12,8/4,7/3,-
2013,45/27,16/4,25/19,1/1,3/3,-
2012,25/25,9/11,13/11,-,3/3,-
2011,48/19,41/13,5/5,-,2/1,-
2010,14/11,3/3,10/7,-,1/1,-
2009,3/4,-,3/4,-,-,-
2008,2/2,-,2/2,-,-,-
2007,2/1,2/1,-,-,-,-
2006,0/1,-,0/1,-,-,-
