Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,23/26,23/26,-,-,-,-
2024,17/16,17/16,-,-,-,-
2023,4/4,4/4,-,-,-,-
2022,1/2,1/2,-,-,-,-
2021,1/4,1/4,-,-,-,-
