Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,37/28,-,37/28,-,-,-
2024,16/6,-,16/6,-,-,-
2023,11/9,-,11/9,-,-,-
2022,0/1,-,0/1,-,-,-
2021,10/12,-,10/12,-,-,-
