Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,653/431,307/221,293/157,25/34,7/6,21/13
2024,28/18,12/13,15/4,0/1,-,1/0
2023,65/30,23/16,36/10,4/3,-,2/1
2022,25/24,20/15,2/6,0/2,-,3/1
2021,17/25,9/15,1/2,3/7,1/1,3/0
2020,16/16,3/4,11/9,1/2,-,1/1
2019,49/39,29/20,15/14,4/3,0/1,1/1
2018,33/33,11/11,13/15,5/5,1/2,3/0
2017,45/30,14/12,22/15,3/2,3/1,3/0
2016,54/33,12/17,36/10,4/3,2/1,0/2
2015,63/24,22/11,39/12,-,-,2/1
2014,51/31,25/18,24/10,0/1,-,2/2
2013,78/26,63/12,14/11,1/3,-,-
2012,41/27,20/12,21/13,-,-,0/2
2011,42/20,18/8,24/11,0/1,-,-
2010,31/21,12/10,19/9,0/1,-,0/1
2009,7/22,7/19,0/2,-,-,0/1
2008,6/10,5/6,1/4,-,-,-
2007,2/2,2/2,-,-,-,-
