Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,25/18,15/10,10/8,-,-,-
2024,19/10,12/5,7/5,-,-,-
2022,2/4,0/2,2/2,-,-,-
2021,4/4,3/3,1/1,-,-,-
