Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,77/83,70/68,7/12,0/3,-,-
2024,10/18,7/11,3/5,0/2,-,-
2023,30/21,29/17,1/3,0/1,-,-
2022,23/14,23/14,-,-,-,-
2021,6/9,3/5,3/4,-,-,-
2020,0/1,0/1,-,-,-,-
2019,2/6,2/6,-,-,-,-
2018,3/7,3/7,-,-,-,-
2017,3/6,3/6,-,-,-,-
2016,0/1,0/1,-,-,-,-
