Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
16.04.2024,Di Natale G. M.,0,,,,,,"['1', '3']","['1', '0', '4', '1']",[],[],[],3.51
10.04.2024,Barreto Sanchez D. A.,2,,,,,,"['4', '3']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],1.25
10.04.2024,Di Natale G. M.,0,,,,,,[],"['1', '3']",[],[],[],3.69
17.01.2024,Nedelchev N.,2,,,,,,"['1', '0', '3', '0', '4', '1', '6', '1']","['6', '4']",[],[],[],1.39
17.01.2024,Di Natale G. M.,0,,,,,,"['1', '3']",[],[],[],[],2.83
31.10.2023,Bertuccioli F.,2,,,,,,"['6', '5']","['1', '0', '3', '0']",[],[],[],1.61
31.10.2023,Di Natale G. M.,0,,,,,,[],[],[],[],[],2.21
25.10.2023,Weis A.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['2', '3', '4', '3']",[],[],[],1.11
25.10.2023,Di Natale G. M.,0,,,,,,[],"['3', '1']",[],[],[],5.68
24.10.2023,Di Natale G. M.,2,,,,,,"['2', '2']","['2', '2', '5', '3']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],1.97
24.10.2023,Marino P.,1,,,,,,"['2', '1', '5', '4']","['2', '1']","['1', '3']",[],[],1.75
15.10.2023,Copil M.,2,,,,,,4,0,67%,79% (26/33),75% (12/16),0% (0/1),38% (20/53),58% (7/12),38% (3/8),78% (38/49),42% (27/65),57% (65/114),90% (9/10),30% (3/10),60% (12/20),"['4', '3']","['2', '1', '4', '1']",[],[],[],1.13
15.10.2023,Di Natale G. M.,0,,,,,,1,1,82%,62% (33/53),42% (5/12),63% (5/8),21% (7/33),25% (4/16),100% (1/1),58% (38/65),22% (11/49),43% (49/114),70% (7/10),10% (1/10),40% (8/20),[],"['2', '4']",[],[],[],5.39
04.10.2023,Ferrari G.,2,,,,,,"['1', '0', '5', '2']","['1', '0', '5', '2']",[],[],[],1.28
04.10.2023,Di Natale G. M.,0,,,,,,[],[],[],[],[],3.42
03.10.2023,Di Natale G. M.,2,,,,,,"['4', '2', '6', '4']","['3', '1', '5', '1', '6', '2']",[],[],[],1.14
03.10.2023,Mishkin K.,0,,,,,,"['3', '4']","['2', '5']",[],[],[],5.04
19.09.2023,Donders D.,2,,,,,,"['1', '0', '3', '0']","['2', '1']","['1', '0', '3', '0']",[],[],1.73
19.09.2023,Di Natale G. M.,1,,,,,,[],"['4', '4', '7', '5']","['3', '5']",[],[],2.00
24.08.2023,Arnaboldi F.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '4', '5', '6', '5']",[],[],[],1.48
24.08.2023,Di Natale G. M.,0,,,,,,[],"['1', '1', '4', '2']",[],[],[],2.51
22.08.2023,Di Natale G. M.,2,,,,,,"['5', '3']","['2', '1', '4', '1', '6', '1']",[],[],[],1.37
22.08.2023,Romano F.,0,,,,,,[],[],[],[],[],2.89
14.08.2023,Sanchez Jover C.,2,,,,,,2,3,66%,79% (31/39),55% (11/20),83% (5/6),28% (9/32),59% (17/29),38% (3/8),71% (42/59),43% (26/61),57% (68/120),90% (9/10),33% (3/9),63% (12/19),"['3', '1', '5', '1']","['3', '2']",[],[],[],1.13
14.08.2023,Di Natale G. M.,0,,,,,,2,1,52%,72% (23/32),41% (12/29),63% (5/8),21% (8/39),45% (9/20),17% (1/6),57% (35/61),29% (17/59),43% (52/120),67% (6/9),10% (1/10),37% (7/19),"['2', '5']",[],[],[],[],5.55
13.08.2023,Di Natale G. M.,2,,,,,,2,2,56%,76% (31/41),50% (16/32),71% (5/7),31% (12/39),67% (28/42),50% (4/8),64% (47/73),49% (40/81),56% (87/154),80% (8/10),36% (4/11),57% (12/21),"['2', '2']","['2', '1', '5', '2', '6', '3']",[],[],[],3.90
13.08.2023,Merida Aguilar D.,0,,,,,,4,13,48%,69% (27/39),33% (14/42),50% (4/8),24% (10/41),50% (16/32),29% (2/7),51% (41/81),36% (26/73),44% (67/154),64% (7/11),20% (2/10),43% (9/21),"['2', '1']","['3', '5']",[],[],[],1.23
04.08.2023,Erhard M.,2,,,,,,"['1', '0', '3', '2', '5', '2']","['1', '0', '2', '1']",[],[],[],1.13
04.08.2023,Di Natale G. M.,0,,,,,,"['1', '1']","['1', '1']",[],[],[],5.26
03.08.2023,Di Natale G. M.,2,,,,,,"['5', '4']","['2', '1', '6', '5']",[],[],[],1.81
03.08.2023,Ricca G.,0,,,,,,[],"['5', '5']",[],[],[],1.90
31.07.2023,Di Natale G. M.,2,,,,,,"['2', '0']","['1', '2']","['2', '2', '7', '5']",[],[],3.22
31.07.2023,Balzerani R.,1,,,,,,[],"['2', '0', '5', '3']","['2', '1']",[],[],1.31
23.07.2023,Gojowczyk P.,2,,,,,,6,6,61%,78% (36/46),45% (13/29),67% (2/3),37% (17/46),55% (17/31),38% (3/8),65% (49/75),44% (34/77),55% (83/152),90% (9/10),30% (3/10),60% (12/20),"['1', '0', '4', '1']","['3', '4']",[],[],[],1.18
23.07.2023,Di Natale G. M.,0,,,,,,4,4,60%,63% (29/46),45% (14/31),63% (5/8),22% (10/46),55% (16/29),33% (1/3),56% (43/77),35% (26/75),45% (69/152),70% (7/10),10% (1/10),40% (8/20),[],"['3', '1']",[],[],[],4.55
