Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,310/326,171/174,96/109,7/6,-,36/37
2024,14/23,8/10,0/1,0/1,-,6/11
2023,24/27,12/14,4/7,5/2,-,3/4
2022,23/34,7/11,3/10,-,-,13/13
2021,25/29,4/14,7/6,-,-,14/9
2020,16/29,-,16/29,-,-,-
2019,22/31,12/19,9/11,1/1,-,-
2018,32/31,19/19,12/10,1/2,-,-
2017,46/30,46/30,-,-,-,-
2016,37/28,29/20,8/8,-,-,-
2015,24/25,8/12,16/13,-,-,-
2014,27/23,6/9,21/14,-,-,-
2013,15/13,15/13,-,-,-,-
2012,3/2,3/2,-,-,-,-
2011,2/1,2/1,-,-,-,-
