Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,168/181,74/64,67/90,21/20,-,6/7
2024,28/17,13/8,11/6,4/2,-,0/1
2023,39/34,22/14,13/15,1/2,-,3/3
2022,34/26,9/6,22/15,0/2,-,3/3
2021,16/24,11/14,0/2,5/8,-,-
2020,14/30,2/4,5/25,7/1,-,-
2019,17/22,9/7,7/11,1/4,-,-
2018,8/7,4/3,1/3,3/1,-,-
2017,6/10,3/3,3/7,-,-,-
2016,5/10,1/5,4/5,-,-,-
2015,1/1,-,1/1,-,-,-
