Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.08.,Isomura K.,2,,,,,,8,6,57%,85% (28/33),52% (13/25),100% (4/4),21% (5/24),64% (14/22),60% (3/5),71% (41/58),41% (19/46),58% (60/104),5,0,100% (9/9),38% (3/8),71% (12/17),"['5', '3']","['1', '0', '4', '1']",[],[],[],2.51
26.08.,Fomin S.,0,,,,,,6,3,52%,79% (19/24),36% (8/22),40% (2/5),15% (5/33),48% (12/25),0% (0/4),59% (27/46),29% (17/58),42% (44/104),5,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],1.49
18.08.,Serdarusic N.,2,,,,,,6,3,58%,82% (27/33),46% (11/24),67% (4/6),43% (18/42),83% (20/24),55% (6/11),28,13,100% (4/4),67% (38/57),58% (38/66),62% (76/123),6,0,78% (7/9),67% (6/9),72% (13/18),"['1', '3', '3', '3', '7', '5']","['2', '0', '4', '0', '6', '0']",[],[],[],22.0
18.08.,Fomin S.,0,,,,,,4,8,64%,57% (24/42),17% (4/24),45% (5/11),18% (6/33),54% (13/24),33% (2/6),18,39,0% (0/3),42% (28/66),33% (19/57),38% (47/123),4,1,33% (3/9),22% (2/9),28% (5/18),"['1', '0', '3', '0']",[],[],[],[],1.78
17.08.,Fomin S.,2,,,,,,4,4,44%,74% (32/43),46% (25/54),73% (11/15),41% (18/44),46% (24/52),42% (5/12),18,49,40% (2/5),59% (57/97),44% (42/96),51% (99/193),6,0,71% (10/14),33% (5/15),52% (15/29),"['2', '1', '4', '1']","['1', '2']","['5', '3', '6', '4']",[],[],1.82
17.08.,Milev Y.,1,,,,,,5,6,46%,59% (26/44),54% (28/52),58% (7/12),26% (11/43),54% (29/54),27% (4/15),22,47,33% (1/3),56% (54/96),41% (40/97),49% (94/193),4,2,67% (10/15),29% (4/14),48% (14/29),"['2', '4']","['2', '0', '5', '3']","['4', '5']",[],[],21.0
11.08.,Markov V.,2,,,,,,11,10,54%,64% (38/59),42% (21/50),60% (9/15),24% (9/37),52% (25/48),55% (6/11),29,53,75% (3/4),55% (59/108),40% (34/85),48% (93/193),8,0,60% (9/15),40% (6/15),50% (15/30),"['1', '1', '4', '4', '6', '4']",[],"['3', '1', '4', '2', '7', '5']",[],[],-
11.08.,Fomin S.,1,,,,,,7,8,44%,76% (28/37),48% (23/48),45% (5/11),36% (21/59),58% (29/50),40% (6/15),26,54,73% (8/11),60% (51/85),45% (49/108),52% (100/193),2,6,60% (9/15),40% (6/15),50% (15/30),"['1', '0', '4', '3']","['1', '0', '3', '0']","['2', '3', '4', '5']",[],[],-
10.08.,Fomin S.,2,,,,,,13,11,46%,75% (27/36),44% (19/43),73% (8/11),43% (13/30),56% (22/39),45% (5/11),28,40,33% (1/3),58% (46/79),51% (35/69),55% (81/148),6,0,70% (7/10),50% (5/10),60% (12/20),"['3', '2', '5', '2']","['1', '0', '2', '1', '3', '2']",[],[],[],1.60
10.08.,Dev S D P.,0,,,,,,4,3,43%,57% (17/30),44% (17/39),55% (6/11),25% (9/36),56% (24/43),27% (3/11),18,41,100% (1/1),49% (34/69),42% (33/79),45% (67/148),4,0,50% (5/10),30% (3/10),40% (8/20),"['3', '5']","['1', '1', '2', '2']",[],[],[],18.0
04.08.,Villanueva G.,2,,,,,,6,0,57%,81% (26/32),67% (16/24),67% (2/3),44% (16/36),45% (15/33),60% (3/5),27,18,75% (3/4),75% (42/56),45% (31/69),58% (73/125),9,0,90% (9/10),30% (3/10),60% (12/20),"['3', '1']","['3', '2', '5', '2']",[],[],[],1.70
04.08.,Fomin S.,0,,,,,,4,3,52%,56% (20/36),55% (18/33),40% (2/5),19% (6/32),33% (8/24),33% (1/3),17,29,33% (1/3),55% (38/69),25% (14/56),42% (52/125),1,0,70% (7/10),10% (1/10),40% (8/20),"['2', '3']",[],[],[],[],2.08
03.08.,Fomin S.,2,,,,,,6,3,59%,78% (29/37),54% (14/26),67% (2/3),47% (16/34),54% (19/35),36% (4/11),29,29,100% (3/3),68% (43/63),51% (36/71),59% (79/134),7,0,90% (9/10),44% (4/9),68% (13/19),"['3', '1', '5', '1']","['4', '3', '6', '5']",[],[],[],1.20
03.08.,Leite W.,0,,,,,,1,3,49%,53% (18/34),46% (16/35),64% (7/11),22% (8/37),46% (12/26),33% (1/3),8,36,67% (4/6),49% (35/71),32% (20/63),41% (55/134),3,1,56% (5/9),10% (1/10),32% (6/19),[],"['5', '5']",[],[],[],4.22
11.07.,Sanchez Jover C.,2,,,,,,"['2', '1']","['2', '2', '4', '2', '5', '3']","['3', '2']",[],[],1.50
11.07.,Fomin S.,1,,,,,,"['2', '2', '5', '3']","['1', '0', '3', '4']",[],[],[],2.44
10.07.,Fomin S.,2,,,,,,[],"['5', '3']","['5', '4']",[],[],1.27
10.07.,Miletich I.,1,,,,,,"['1', '0', '3', '0']",[],[],[],[],3.46
08.07.,Fomin S.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['3', '2']","['3', '2']",[],[],2.69
08.07.,Squire H.,1,,,,,,[],"['3', '3', '6', '4']",[],[],[],1.42
03.07.,Bertola R.,2,,,,,,"['2', '0', '6', '2']","['3', '1']","['2', '1', '3', '2']",[],[],1.45
03.07.,Fomin S.,1,,,,,,[],"['4', '5']","['2', '2', '4', '4']",[],[],2.58
01.07.,Fomin S.,2,,,,,,"['1', '0', '2', '1', '4', '3', '6', '3']","['2', '0', '4', '0']",[],[],[],1.04
01.07.,Sickenberger T.,0,,,,,,"['1', '1', '3', '3']",[],[],[],[],8.20
31.05.,Tokuda R.,2,,,,,,"['4', '2']",[],"['5', '3']",[],[],2.09
31.05.,Fomin S.,1,,,,,,[],"['3', '1']",[],[],[],1.68
30.05.,Fomin S.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.07
30.05.,Chekhov A.,0,,,,,,[],[],[],[],[],6.95
29.05.,Fomin S.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],-
29.05.,Dolzhenkov D.,0,,,,,,[],[],[],[],[],-
28.05.,Fomin S.,2,,,,,,"['2', '1', '6', '3']","['2', '2', '4', '2', '6', '2']",[],[],[],1.03
28.05.,Abdusamadov D.,0,,,,,,[],"['2', '1']",[],[],[],9.00
21.05.,Purtseladze S.,2,,,,,,15,6,62%,73% (37/51),61% (19/31),100% (4/4),29% (12/41),41% (9/22),100% (1/1),68% (56/82),33% (21/63),53% (77/145),6,0,100% (11/11),10% (1/10),57% (12/21),"['3', '1']",[],[],[],[],1.41
21.05.,Fomin S.,0,,,,,,6,1,65%,71% (29/41),59% (13/22),0% (0/1),27% (14/51),39% (12/31),0% (0/4),67% (42/63),32% (26/82),47% (68/145),4,0,90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],2.77
20.05.,Fomin S.,2,,,,,,13,0,64%,81% (50/62),49% (17/35),67% (2/3),33% (18/54),57% (20/35),36% (4/11),69% (67/97),43% (38/89),56% (105/186),5,0,93% (14/15),31% (4/13),64% (18/28),"['3', '1']","['2', '3']","['2', '0', '4', '0']",[],[],1.70
20.05.,Bakshi A.,1,,,,,,5,6,61%,67% (36/54),43% (15/35),64% (7/11),19% (12/62),51% (18/35),33% (1/3),57% (51/89),31% (30/97),44% (81/186),5,2,69% (9/13),7% (1/15),36% (10/28),[],"['3', '1']",[],[],[],2.05
19.05.,Fomin S.,2,,,,,,12,4,60%,69% (36/52),51% (18/35),40% (2/5),30% (13/43),52% (22/42),43% (3/7),62% (54/87),41% (35/85),52% (89/172),9,0,79% (11/14),21% (3/14),50% (14/28),[],"['1', '2']","['3', '1', '6', '2']",[],[],1.89
19.05.,Pankin S.,1,,,,,,5,4,51%,70% (30/43),48% (20/42),57% (4/7),31% (16/52),49% (17/35),60% (3/5),59% (50/85),38% (33/87),48% (83/172),1,0,79% (11/14),21% (3/14),50% (14/28),"['3', '1', '6', '2']","['2', '0']",[],[],[],1.83
18.05.,Fomin S.,2,,,,,,7,2,61%,85% (28/33),57% (12/21),50% (2/4),38% (15/40),59% (17/29),33% (4/12),74% (40/54),46% (32/69),59% (72/123),8,0,82% (9/11),40% (4/10),62% (13/21),"['2', '0', '5', '1']","['3', '2', '6', '5']",[],[],[],1.04
18.05.,Tsitsipas Pa.,0,,,,,,9,4,58%,63% (25/40),41% (12/29),67% (8/12),15% (5/33),43% (9/21),50% (2/4),54% (37/69),26% (14/54),41% (51/123),2,0,60% (6/10),18% (2/11),38% (8/21),"['2', '5']","['4', '4']",[],[],[],9.10
12.05.,Henning P.,2,,,,,,"['2', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.76
12.05.,Fomin S.,0,,,,,,[],[],[],[],[],1.95
03.05.,Oetzbach A.,2,,,,,,[],"['1', '0', '2', '1', '4', '3', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],4.85
03.05.,Fomin S.,1,,,,,,"['4', '2', '6', '2']","['1', '1', '2', '2']",[],[],[],1.14
02.05.,Fomin S.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.19
02.05.,Atlangeriev B.,0,,,,,,[],"['1', '5']",[],[],[],4.19
01.05.,Fomin S.,0,,,,,,"['1', '0', '3', '0']",[],[],[],[],-
01.05.,Kumaran B. N.,0,,,,,,[],[],[],[],[],12.20
30.04.,Fomin S.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '3', '2', '5', '2']",[],[],[],1.07
