Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,72/57,34/29,25/21,1/5,-,12/2
2024,5/4,3/2,2/2,-,-,-
2023,19/9,5/4,4/4,-,-,10/1
2022,10/8,6/5,4/3,-,-,-
2021,0/2,-,0/2,-,-,-
2020,9/10,6/7,1/2,-,-,2/1
2019,16/16,8/7,8/6,0/3,-,-
2018,1/1,1/1,-,-,-,-
2017,3/3,2/2,-,1/1,-,-
2016,9/4,3/1,6/2,0/1,-,-
