Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,50/40,32/25,17/12,1/3,-,-
2023,16/10,12/8,4/2,-,-,-
2022,28/24,17/14,11/8,0/2,-,-
2021,6/6,3/3,2/2,1/1,-,-
