Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,46/47,40/43,-,-,-,6/4
2024,13/18,13/18,-,-,-,-
2023,26/21,20/17,-,-,-,6/4
2022,7/7,7/7,-,-,-,-
2021,0/1,0/1,-,-,-,-
