Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,52/63,52/61,0/2,-,-,-
2024,8/4,8/4,-,-,-,-
2023,8/14,8/14,-,-,-,-
2022,11/9,11/7,0/2,-,-,-
2018,4/5,4/5,-,-,-,-
2017,10/9,10/9,-,-,-,-
2016,8/11,8/11,-,-,-,-
2015,1/7,1/7,-,-,-,-
2014,2/3,2/3,-,-,-,-
2013,0/1,0/1,-,-,-,-
