Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,70/86,-,67/78,2/1,-,1/7
2024,8/10,-,8/7,-,-,0/3
2023,12/21,-,12/20,-,-,0/1
2022,3/5,-,3/5,-,-,-
2019,6/5,-,6/5,-,-,-
2018,9/12,-,9/11,-,-,0/1
2017,14/19,-,13/17,-,-,1/2
2016,13/11,-,13/11,-,-,-
2015,5/3,-,3/2,2/1,-,-
