Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER WOMEN - SINGLES :  Charleston (USA) - Qualification,hard,header
11.03. 19:40,Kichenok N.,0,1,4,,,,0,2,69%,36% (12/33),47% (7/15),25% (2/8),37% (16/43),59% (13/22),33% (3/9),5,40% (19/48),45% (29/65),42% (48/113),2,25% (2/8),33% (3/9),29% (5/17),"['1', '4']","['2', '2', '4', '4']",[],[],[],10.90
11.03. 19:40,Andreeva E.,2,6,6,,,,3,2,66%,63% (27/43),41% (9/22),67% (6/9),64% (21/33),53% (8/15),75% (6/8),7,55% (36/65),60% (29/48),58% (65/113),4,67% (6/9),75% (6/8),71% (12/17),"['2', '0', '4', '0', '5', '1']","['1', '0', '3', '2', '5', '4']",[],[],[],1.04
10.03. 22:30,Kichenok N.,2,7^8,3,6,,,5,7,70%,53% (41/77),48% (16/33),42% (5/12),48% (34/71),44% (12/27),70% (7/10),6,52% (57/110),47% (46/98),50% (103/208),4,53% (8/15),47% (7/15),50% (15/30),"['1', '0', '3', '2']","['1', '5', '3', '5']","['1', '2', '3', '2', '6', '3']",[],[],3.13
10.03. 22:30,Kingsley R.,1,6^6,6,3,,,0,0,72%,52% (37/71),56% (15/27),30% (3/10),47% (36/77),52% (17/33),58% (7/12),7,53% (52/98),48% (53/110),50% (105/208),5,53% (8/15),47% (7/15),50% (15/30),"['1', '1', '3', '3']","['1', '0', '3', '0', '5', '0', '6', '3']","['2', '0']",[],[],1.34
WTA - SINGLES :  Guadalajara (Mexico) - Qualification,hard,header
15.10.2022,Kichenok N.,0,1,1,,,,2,8,58%,46% (12/26),26% (5/19),44% (4/9),19% (6/32),59% (13/22),0% (0/11),5,38% (17/45),35% (19/54),36% (36/99),1,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],12.50
15.10.2022,Fruhvirtova L.,2,6,6,,,,5,5,59%,81% (26/32),41% (9/22),100% (11/11),54% (14/26),74% (14/19),56% (5/9),7,65% (35/54),62% (28/45),64% (63/99),7,100% (7/7),71% (5/7),86% (12/14),"['1', '0', '3', '0', '6', '1']","['2', '0', '4', '0']",[],[],[],1.03
WTA - SINGLES :  Seoul (South Korea) - Qualification,hard,header
17.09.2022,Kichenok N.,1,5,7^7,0,,,3,9,61%,56% (30/54),46% (16/35),38% (5/13),37% (23/62),53% (18/34),50% (4/8),6,52% (46/89),43% (41/96),47% (87/185),2,47% (7/15),27% (4/15),37% (11/30),"['5', '5']","['3', '3', '5', '5', '6', '6']",[],[],[],3.78
17.09.2022,Grammatikopoulou V.,2,7,6^3,6,,,5,2,65%,63% (39/62),47% (16/34),50% (4/8),44% (24/54),54% (19/35),62% (8/13),8,57% (55/96),48% (43/89),53% (98/185),6,73% (11/15),53% (8/15),63% (19/30),"['2', '1', '6', '5']","['2', '1', '4', '3', '6', '5']","['2', '0', '4', '0', '6', '0']",[],[],1.26
WTA - SINGLES :  Granby (Canada) - Qualification,hard,header
21.08.2022,Kichenok N.,0,3,4,,,,2,1,61%,69% (24/35),55% (12/22),71% (5/7),22% (8/37),36% (10/28),0% (0/3),4,63% (36/57),28% (18/65),44% (54/122),1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],2.04
21.08.2022,Brace C.,2,6,6,,,,1,2,57%,78% (29/37),64% (18/28),100% (3/3),31% (11/35),45% (10/22),29% (2/7),7,72% (47/65),37% (21/57),56% (68/122),3,100% (10/10),22% (2/9),63% (12/19),"['2', '0']","['1', '0']",[],[],[],1.78
21.08.2022,Kichenok N.,2,6,7^7,,,,7,5,60%,79% (37/47),48% (15/31),67% (2/3),35% (18/52),38% (9/24),50% (2/4),4,67% (52/78),36% (27/76),51% (79/154),3,91% (10/11),18% (2/11),55% (12/22),"['6', '4']","['3', '3']",[],[],[],1.31
21.08.2022,Tjandramulia O.,0,4,6^5,,,,0,0,68%,65% (34/52),63% (15/24),50% (2/4),21% (10/47),52% (16/31),33% (1/3),4,64% (49/76),33% (26/78),49% (75/154),2,82% (9/11),9% (1/11),45% (10/22),[],"['1', '0']",[],[],[],3.36
WTA - SINGLES :  Charleston (USA),clay,header
04.04.2022,Kichenok N.,1,7,2,2,,,2,9,51%,77% (40/52),30% (15/50),50% (6/12),34% (23/68),51% (18/35),30% (3/10),6,54% (55/102),40% (41/103),47% (96/205),3,57% (8/14),21% (3/14),39% (11/28),"['1', '1', '7', '5']","['2', '4']",[],[],[],2.31
04.04.2022,Eikeri U.,2,5,6,6,,,7,3,66%,66% (45/68),49% (17/35),70% (7/10),23% (12/52),70% (35/50),50% (6/12),5,60% (62/103),46% (47/102),53% (109/205),4,79% (11/14),43% (6/14),61% (17/28),"['1', '0']","['2', '1', '4', '1', '5', '2']","['1', '0', '4', '1']",[],[],1.64
WTA - SINGLES :  Charleston (USA) - Qualification,clay,header
03.04.2022,Kichenok N.,2,6,6,,,,4,3,77%,79% (26/33),50% (5/10),100% (2/2),61% (14/23),71% (10/14),56% (5/9),6,72% (31/43),65% (24/37),69% (55/80),11,100% (7/7),83% (5/6),92% (12/13),"['3', '1', '5', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],3.57
03.04.2022,Harrison C.,0,1,0,,,,0,4,62%,39% (9/23),29% (4/14),44% (4/9),21% (7/33),50% (5/10),0% (0/2),3,35% (13/37),28% (12/43),31% (25/80),1,17% (1/6),0% (0/7),8% (1/13),[],[],[],[],[],1.31
02.04.2022,Kichenok N.,2,6,4,6,,,7,2,64%,60% (39/65),50% (18/36),55% (6/11),39% (26/66),65% (17/26),60% (6/10),6,56% (57/101),47% (43/92),52% (100/193),5,67% (10/15),43% (6/14),55% (16/29),"['2', '2', '3', '3', '5', '3']","['3', '4']","['3', '4', '5', '4']",[],[],12.00
02.04.2022,McHale C.,1,3,6,4,,,1,3,72%,61% (40/66),35% (9/26),40% (4/10),40% (26/65),50% (18/36),45% (5/11),7,53% (49/92),44% (44/101),48% (93/193),5,57% (8/14),33% (5/15),45% (13/29),"['1', '0', '3', '2']","['2', '0', '6', '4']","['2', '0']",[],[],1.04
WTA - SINGLES :  Chicago 2 (USA) - Qualification,hard,header
26.09.2021,Kichenok N.,0,1,1,,,,1,1,62%,53% (18/34),33% (7/21),17% (1/6),8% (2/25),33% (3/9),0% (0/1),4,45% (25/55),15% (5/34),34% (30/89),1,14% (1/7),0% (0/7),7% (1/14),[],[],[],[],[],8.10
26.09.2021,Haddad Maia B.,2,6,6,,,,3,0,74%,92% (23/25),67% (6/9),100% (1/1),47% (16/34),62% (13/21),83% (5/6),8,85% (29/34),55% (30/55),66% (59/89),9,86% (6/7),86% (6/7),86% (12/14),"['1', '0', '4', '1', '6', '1']","['2', '0', '4', '0']",[],[],[],1.06
WTA - SINGLES :  Abu Dhabi (United Arab Emirates) - Qualification,hard,header
05.01.2021,Kichenok N.,0,2,3,,,,"['1', '3']","['3', '3']",[],[],[],5.08
05.01.2021,Burrage J.,2,6,6,,,,"['1', '0', '3', '0', '4', '1']","['1', '0', '4', '3', '6', '3']",[],[],[],1.18
EXHIBITION - WOMEN :  Others matches (World),-,header
27.05.2020,Kichenok N.,1,6,3,3,,,"['1', '0', '4', '1', '6', '3']","['2', '4', '3', '5']","['1', '0']",[],[],0
27.05.2020,Zakarlyuk M.,2,3,6,6,,,"['3', '5']","['1', '0', '4', '1', '5', '2', '6', '3']","['3', '3', '5', '3']",[],[],0
WTA - SINGLES :  Moscow (Russia) - Qualification,hard,header
12.10.2019,Kichenok N.,0,4,4,,,,"['1', '2', '2', '3', '3', '4']","['3', '4']",[],[],[],1.84
12.10.2019,Zakharova A.,2,6,6,,,,"['2', '0', '3', '1', '4', '2', '6', '4']","['2', '0', '6', '4']",[],[],[],1.97
ITF WOMEN - SINGLES :  Meitar (Israel),hard,header
10.09.2019,Kichenok N.,0,5,3,,,,"['3', '3', '4', '4']",[],[],[],[],1.83
10.09.2019,Hobgarski K.,2,7,6,,,,"['3', '2', '4', '3', '6', '5']","['1', '0', '6', '3']",[],[],[],1.94
WTA - SINGLES :  New York (USA) - Qualification,hard,header
18.08.2019,Kichenok N.,1,7^7,1,2,,,"['1', '0', '2', '1']","['1', '3']","['1', '0']",[],[],6.65
18.08.2019,Kanepi K.,2,6^3,6,6,,,"['1', '1', '2', '2']","['1', '0', '3', '0', '4', '1', '6', '1']","['1', '1', '3', '1', '6', '2']",[],[],1.12
18.08.2019,Kichenok N.,2,6,1,6,,,"['1', '0']",[],"['6', '4']",[],[],6.90
18.08.2019,Vikhlyantseva N.,1,4,6,4,,,[],"['2', '0', '4', '0']",[],[],[],1.10
16.08.2019,Kichenok N.,2,7^7,7^7,,,,"['2', '1', '4', '3']","['3', '5', '5', '5', '6', '6']",[],[],[],1.92
16.08.2019,Bolton E.,0,6^4,6^3,,,,"['3', '3', '4', '4']","['2', '1', '4', '1', '6', '5']",[],[],[],1.89
WTA - SINGLES :  San Jose (USA) - Qualification,hard,header
28.07.2019,Kichenok N.,0,1,6^4,,,,[],"['2', '4', '5', '5']",[],[],[],3.28
28.07.2019,Liang E. S.,2,6,7^7,,,,"['3', '1', '5', '1']","['1', '0', '3', '0']",[],[],[],1.34
WTA - SINGLES :  Charleston (USA),clay,header
02.04.2019,Kichenok N.,0,2,1,,,,1,2,65%,27% (8/30),44% (7/16),36% (4/11),37% (13/35),63% (5/8),40% (2/5),4,33% (15/46),42% (18/43),37% (33/89),1,13% (1/8),29% (2/7),20% (3/15),"['2', '4']","['1', '1']",[],[],[],4.20
02.04.2019,Trevisan M.,2,6,6,,,,0,0,81%,63% (22/35),38% (3/8),60% (3/5),73% (22/30),44% (7/16),64% (7/11),9,58% (25/43),67% (31/46),63% (56/89),5,71% (5/7),88% (7/8),80% (12/15),"['1', '0', '4', '1', '5', '2']","['1', '0', '2', '1', '4', '1', '6', '1']",[],[],[],1.24
WTA - SINGLES :  Charleston (USA) - Qualification,clay,header
31.03.2019,Kichenok N.,2,7^7,4,7^12,,,"['3', '1']","['1', '0']","['4', '5']",[],[],4.16
31.03.2019,Dolehide C.,1,6^3,6,6^10,,,"['4', '5']","['4', '4', '6', '4']","['5', '3']",[],[],1.24
30.03.2019,Kichenok N.,2,7^7,6,,,,"['1', '1', '3', '1', '5', '5', '6', '6']","['1', '0', '3', '2', '4', '3', '6', '3']",[],[],[],9.20
30.03.2019,Zhuk S.,0,6^3,3,,,,"['1', '0', '3', '4', '5', '4', '6', '5']","['1', '1', '3', '3']",[],[],[],1.05
WTA - SINGLES :  Fed Cup - World Group II (World),-,header
11.02.2018,Kichenok N.,2,4,6,6,,,2,10,63%,73% (48/66),47% (18/38),100% (11/11),35% (19/54),18% (5/28),30% (3/10),31,60,7,64% (53/83),44% (31/71),55% (84/154),3,100% (10/10),30% (3/10),65% (13/20),[],"['2', '0', '6', '2']","['5', '3']",[],[],0
11.02.2018,Saville D.,1,6,2,3,,,3,9,66%,65% (35/54),50% (14/28),70% (7/10),27% (18/66),26% (10/38),0% (0/11),18,36,6,56% (40/71),36% (30/83),45% (70/154),3,70% (7/10),0% (0/10),35% (7/20),"['4', '3']",[],[],[],[],0
WTA - SINGLES :  Dubai (United Arab Emirates) - Qualification,hard,header
17.02.2017,Kichenok N.,0,3,4,,,,[],"['2', '0', '3', '3']",[],[],[],4.46
17.02.2017,Ozaki R.,2,6,6,,,,"['4', '2']","['1', '2', '3', '2', '4', '3']",[],[],[],1.23
WTA - SINGLES :  Guangzhou (China) - Qualification,hard,header
17.09.2016,Kichenok N.,1,4,6,3,,,"['2', '3']","['1', '0', '2', '1', '4', '1']","['3', '2']",[],[],1.59
17.09.2016,You X.,2,6,2,6,,,"['3', '1', '6', '4']","['1', '1']","['3', '3', '5', '3']",[],[],2.46
WTA - SINGLES :  Florianopolis (Brazil),hard,header
01.08.2016,Kichenok N.,0,4,4,,,,[],"['2', '0', '3', '3']",[],[],[],5.75
01.08.2016,Ostapenko J.,2,6,6,,,,"['5', '4']","['1', '2', '3', '2', '4', '3']",[],[],[],1.18
WTA - SINGLES :  Florianopolis (Brazil) - Qualification,hard,header
31.07.2016,Kichenok N.,2,6,6,,,,"['1', '0', '3', '2', '5', '2', '6', '3']","['2', '0', '4', '0', '6', '2']",[],[],[],2.13
31.07.2016,Kichenok L.,0,3,2,,,,"['2', '2', '3', '5']","['2', '5']",[],[],[],1.77
30.07.2016,Kichenok N.,2,6,6,,,,"['1', '0', '3', '0', '4', '1', '6', '1']","['4', '2', '6', '4']",[],[],[],1.23
30.07.2016,Rossi N.,0,1,4,,,,"['1', '3']","['3', '4']",[],[],[],4.48
WTA - SINGLES :  Gstaad (Switzerland) - Qualification,clay,header
09.07.2016,Kichenok N.,0,1,2,,,,"['1', '2']",[],[],[],[],3.24
09.07.2016,Lim A.,2,6,6,,,,"['2', '0', '3', '1', '5', '1']","['3', '2', '5', '2']",[],[],[],1.38
WTA - SINGLES :  Strasbourg (France) - Qualification,clay,header
13.05.2016,Kichenok N.,0,3,3,,,,"['1', '0']",[],[],[],[],3.17
13.05.2016,Hesse A.,2,6,6,,,,"['2', '2', '5', '3']","['4', '3', '6', '3']",[],[],[],1.39
WTA - SINGLES :  Prague (Czech Republic) - Qualification,clay,header
23.04.2016,Kichenok N.,0,0,3,,,,[],"['1', '4', '3', '4']",[],[],[],5.27
23.04.2016,Chirico L.,2,6,6,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0', '5', '3']",[],[],[],1.18
ITF WOMEN - SINGLES :  W60 Launceston (Australia),hard,header
ITF WOMEN - SINGLES :  W100+H Dubai (United Arab Emirates),hard,header
WTA - SINGLES :  Tianjin (China),hard,header
13.10.2015,Kichenok N.,0,4,0,,,,"['2', '0', '4', '4']",[],[],[],[],2.86
13.10.2015,Radwanska U.,2,6,6,,,,"['1', '2', '4', '3', '5', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],1.43
WTA - SINGLES :  Tianjin (China) - Qualification,hard,header
12.10.2015,Kichenok N.,2,6,6,,,,"['1', '0', '2', '1', '4', '1', '5', '2']","['2', '1', '5', '2']",[],[],[],1.87
12.10.2015,Lu J.,0,2,2,,,,"['1', '1', '2', '4']",[],[],[],[],1.93
11.10.2015,Kichenok N.,2,6,6,,,,"['2', '3', '3', '4', '5', '4']","['1', '0', '4', '1']",[],[],[],1.36
11.10.2015,Ninomiya M.,0,4,4,,,,"['3', '1', '4', '2']","['3', '5']",[],[],[],3.35
10.10.2015,Kichenok N.,2,5,6,6,,,"['1', '0']","['4', '3']","['3', '4', '5', '4']",[],[],2.08
10.10.2015,Xu S.,1,7,4,4,,,"['5', '5', '7', '5']",[],"['4', '2']",[],[],1.75
WTA - SINGLES :  Quebec City (Canada),hard,header
17.09.2015,Kichenok N.,0,2,4,,,,[],"['2', '0']",[],[],[],3.30
17.09.2015,Tatishvili A.,2,6,6,,,,"['1', '0', '4', '1']","['1', '2', '4', '3']",[],[],[],1.34
WTA - SINGLES :  Quebec City (Canada) - Qualification,hard,header
13.09.2015,Kichenok N.,0,4,4,,,,[],[],[],[],[],3.90
13.09.2015,Baindl K.,2,6,6,,,,"['5', '4']","['1', '0']",[],[],[],1.26
13.09.2015,Kichenok N.,2,6,6,,,,"['2', '0', '5', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.21
13.09.2015,Cako J.,0,1,0,,,,[],[],[],[],[],4.45
WTA - SINGLES :  Istanbul (Turkey) - Qualification,hard,header
19.07.2015,Ostapenko J.,0,2,,,,,"['1', '0']",[],[],[],[],1.39
19.07.2015,Kichenok N.,0,0,,,,,[],[],[],[],[],3.16
WTA - SINGLES :  Strasbourg (France),clay,header
17.05.2015,Kichenok N.,0,3,0,,,,"['3', '5']",[],[],[],[],4.95
17.05.2015,Stephens S.,2,6,6,,,,"['3', '2', '5', '2', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],1.21
WTA - SINGLES :  Strasbourg (France) - Qualification,clay,header
16.05.2015,Kichenok N.,2,6,6,,,,"['2', '0']","['5', '4']",[],[],[],1.56
16.05.2015,Ozaki R.,0,3,4,,,,[],[],[],[],[],2.44
15.05.2015,Kichenok N.,2,6,6,,,,"['6', '4']","['1', '1', '3', '1', '5', '1']",[],[],[],3.06
15.05.2015,Townsend T.,0,4,1,,,,[],"['1', '0']",[],[],[],1.41
ITF WOMEN - SINGLES :  Istanbul (Turkey),hard,header
WTA - SINGLES :  Katowice (Poland) - Qualification,hard,header
