Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
10.07.,Popovic S.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['3', '1', '5', '1']",[],[],[],-
10.07.,Srbljak G.,0,,,,,,[],[],[],[],[],-
25.06.,Srbljak G.,1,,,,,,"['1', '2', '3', '2', '5', '4']","['2', '1', '3', '4']",[],[],[],-
25.06.,Mashtakov N.,1,,,,,,"['2', '0', '4', '4']","['2', '2', '4', '2', '6', '4']","['3', '1']",[],[],-
11.06.,Ravasio G.,2,,,,,,[],"['2', '0', '4', '2', '6', '2']","['2', '0', '3', '1', '5', '1']",[],[],2.94
11.06.,Srbljak G.,1,,,,,,"['2', '0', '5', '1']","['1', '2']","['1', '2', '2', '5']",[],[],1.36
21.05.,Giraldi C.,2,,,,,,"['5', '3', '6', '4']","['2', '0']",[],[],[],2.89
21.05.,Srbljak G.,0,,,,,,"['4', '5']",[],[],[],[],1.37
14.05.,Milev Y.,2,,,,,,[],"['2', '1', '3', '2', '6', '3']","['2', '0', '3', '1', '5', '1']",[],[],-
14.05.,Srbljak G.,1,,,,,,"['3', '1', '6', '2']","['2', '2']","['1', '2']",[],[],-
05.09.2024,Paz J. P.,0,,,,,,"['1', '0', '3', '0']",[],[],[],[],1.32
05.09.2024,Srbljak G.,0,,,,,,[],[],[],[],[],3.18
04.09.2024,Srbljak G.,2,,,,,,"['1', '0', '3', '0', '5', '0']",[],"['1', '1', '3', '1', '6', '2']",[],[],1.55
04.09.2024,Roberts J.,1,,,,,,[],[],"['1', '0']",[],[],2.34
15.08.2024,D'Agostino S.,1,,,,,,"['1', '0', '4', '3']","['3', '2']",[],[],[],-
15.08.2024,Srbljak G.,0,,,,,,"['1', '1']",[],[],[],[],-
14.08.2024,Srbljak G.,2,,,,,,[],"['1', '0', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],2.72
14.08.2024,Caniato C. A.,1,,,,,,"['6', '4']",[],[],[],[],1.42
07.08.2024,Schifris J.,2,,,,,,[],"['1', '0', '4', '1', '6', '1']","['2', '2', '4', '2']",[],[],2.72
07.08.2024,Srbljak G.,1,,,,,,"['2', '0', '6', '2']",[],"['1', '0']",[],[],1.42
02.08.2024,Tessa L.,2,,,,,,"['2', '1', '4', '1', '5', '2']","['5', '4']",[],[],[],1.53
02.08.2024,Srbljak G.,0,,,,,,"['2', '4']",[],[],[],[],2.39
01.08.2024,Srbljak G.,2,,,,,,"['4', '3', '6', '3']","['2', '2']","['3', '1']",[],[],3.69
01.08.2024,Bondioli F.,1,,,,,,[],"['1', '0', '4', '3']",[],[],[],1.25
31.07.2024,Srbljak G.,2,,,,,,[],"['1', '0', '3', '2', '6', '5']","['2', '3', '3', '4', '5', '4']",[],[],1.62
31.07.2024,Kobierski J.,1,,,,,,"['1', '0', '6', '3']","['2', '2', '5', '5']","['3', '1', '4', '2']",[],[],2.20
21.09.2023,Gulin S.,2,,,,,,[],[],[],[],[],1.10
21.09.2023,Srbljak G.,1,,,,,,[],[],[],[],[],6.01
19.09.2023,Srbljak G.,2,,,,,,[],[],[],[],[],1.17
19.09.2023,Chepik A.,0,,,,,,[],[],[],[],[],4.57
14.09.2023,Gulin S.,2,,,,,,[],[],[],[],[],1.12
14.09.2023,Srbljak G.,0,,,,,,[],[],[],[],[],5.42
13.09.2023,Srbljak G.,2,,,,,,[],[],[],[],[],1.21
13.09.2023,Mihailovic A.,1,,,,,,[],[],[],[],[],4.04
31.08.2023,Bellifemine A.,2,,,,,,[],[],[],[],[],2.06
31.08.2023,Srbljak G.,1,,,,,,[],[],[],[],[],1.68
30.08.2023,Srbljak G.,2,,,,,,[],[],[],[],[],1.47
30.08.2023,Vujic S.,1,,,,,,[],[],[],[],[],2.54
