Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,60/79,35/30,4/9,15/35,-,6/5
2024,14/10,13/8,1/1,-,-,0/1
2023,28/24,15/9,1/1,6/10,-,6/4
2022,9/17,0/1,2/4,7/12,-,-
2021,1/12,-,-,1/12,-,-
2020,2/2,2/2,-,-,-,-
2019,0/3,-,0/3,-,-,-
2018,2/4,1/3,-,1/1,-,-
2017,4/6,4/6,-,-,-,-
2016,0/1,0/1,-,-,-,-
