Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,10/7,8/5,-,2/2,-,-
2024,8/4,8/4,-,-,-,-
2023,1/2,0/1,-,1/1,-,-
2022,1/1,-,-,1/1,-,-
