Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,550/267,196/89,213/107,89/45,43/21,9/5
2024,56/17,23/6,27/9,-,6/2,-
2023,56/27,20/7,22/13,7/4,6/2,1/1
2022,32/12,15/5,9/4,6/3,-,2/0
2021,59/15,14/4,28/6,13/3,4/2,-
2020,34/14,6/4,15/7,13/3,-,-
2019,47/26,16/8,23/10,4/5,2/3,2/0
2018,62/22,20/3,24/12,12/4,3/2,3/1
2017,60/23,16/4,24/9,9/6,10/3,1/1
2016,45/27,13/7,13/11,13/4,6/3,0/2
2015,39/28,14/8,13/10,6/6,6/4,-
2014,33/30,21/16,8/9,4/5,-,-
2013,14/14,10/10,2/3,2/1,-,-
2012,13/10,8/6,5/4,-,-,-
2011,0/2,0/1,-,0/1,-,-
