Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,348/217,171/101,125/75,47/38,-,5/3
2023,30/14,12/4,15/8,3/2,-,-
2022,13/15,1/2,7/9,0/1,-,5/3
2021,35/21,14/8,20/11,1/2,-,-
2020,36/23,2/3,32/16,2/4,-,-
2019,29/19,16/10,1/4,12/5,-,-
2018,15/17,8/10,5/4,2/3,-,-
2017,34/19,31/17,3/2,-,-,-
2016,31/13,27/11,-,4/2,-,-
2015,32/15,23/10,-,9/5,-,-
2014,9/17,3/9,1/3,5/5,-,-
2013,30/20,16/6,9/9,5/5,-,-
2012,36/15,9/6,25/7,2/2,-,-
2011,10/4,3/2,7/2,-,-,-
2010,6/4,6/3,-,0/1,-,-
2009,2/1,-,-,2/1,-,-
