Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,99/93,67/60,32/33,-,-,-
2024,10/19,2/11,8/8,-,-,-
2023,16/14,9/8,7/6,-,-,-
2022,22/13,20/11,2/2,-,-,-
2021,29/27,22/17,7/10,-,-,-
2020,9/7,9/6,0/1,-,-,-
2019,9/10,1/4,8/6,-,-,-
2018,4/3,4/3,-,-,-,-
