Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,79/98,43/38,19/26,-,-,17/34
2024,18/13,18/13,-,-,-,-
2023,10/16,10/9,0/2,-,-,0/5
2022,21/42,7/8,5/9,-,-,9/25
2021,26/23,8/8,10/11,-,-,8/4
2020,4/4,-,4/4,-,-,-
