Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
30.01.,Wessels L.,2,,,,,,"['2', '0', '4', '2']","['2', '1']",[],[],[],1.39
30.01.,Descotte M. F.,0,,,,,,"['2', '3']",[],[],[],[],2.81
29.01.,Descotte M. F.,2,,,,,,[],"['1', '0', '6', '5']","['3', '2']",[],[],2.08
29.01.,Bonnaud A.,1,,,,,,"['2', '0', '4', '0', '6', '0']","['3', '3']",[],[],[],1.69
14.11.2024,Valiev I.,2,,,,,,"['2', '1', '5', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],1.85
14.11.2024,Descotte M. F.,0,,,,,,"['3', '3']",[],[],[],[],1.85
13.11.2024,Descotte M. F.,2,,,,,,"['4', '5', '6', '5']","['1', '0', '5', '2']",[],[],[],2.01
13.11.2024,Bonding O.,0,,,,,,"['2', '0']",[],[],[],[],1.71
03.09.2024,La Serna J. M.,2,,,,,,"['5', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],1.70
03.09.2024,Descotte M. F.,0,,,,,,[],[],[],[],[],2.05
19.07.2024,Zink T.,2,,,,,,"['7', '5']","['3', '1', '4', '2', '5', '3']",[],[],[],2.01
19.07.2024,Descotte M. F.,0,,,,,,[],"['2', '3', '3', '4']",[],[],[],1.73
18.07.2024,Descotte M. F.,2,,,,,,"['4', '3']","['2', '1', '4', '1']",[],[],[],1.46
18.07.2024,Hashimoto H.,0,,,,,,[],"['3', '5', '5', '5']",[],[],[],2.59
17.07.2024,Descotte M. F.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['4', '3', '5', '4']",[],[],[],1.32
17.07.2024,Fahim I. M.,0,,,,,,[],"['4', '4']",[],[],[],3.18
05.06.2024,Alcala Gurri M.,2,,,,,,"['1', '0', '4', '3', '5', '4']","['2', '1', '6', '3']",[],[],[],1.55
05.06.2024,Descotte M. F.,0,,,,,,"['1', '1', '4', '4']",[],[],[],[],2.34
11.01.2024,Houkes M.,2,,,,,,3,5,58%,79% (41/52),41% (15/37),63% (5/8),42% (25/60),48% (15/31),36% (5/14),63% (56/89),44% (40/91),53% (96/180),5,0,79% (11/14),36% (5/14),57% (16/28),"['3', '5']","['5', '3']","['1', '0', '3', '0', '6', '3']",[],[],1.43
11.01.2024,Descotte M. F.,1,,,,,,3,1,66%,58% (35/60),52% (16/31),64% (9/14),21% (11/52),59% (22/37),38% (3/8),56% (51/91),37% (33/89),47% (84/180),5,0,64% (9/14),21% (3/14),43% (12/28),"['1', '0', '5', '2']",[],"['3', '5']",[],[],2.73
09.01.2024,Descotte M. F.,2,,,,,,3,4,58%,66% (31/47),47% (16/34),20% (1/5),49% (23/47),44% (14/32),60% (6/10),58% (47/81),47% (37/79),53% (84/160),7,0,69% (9/13),46% (6/13),58% (15/26),"['3', '2', '4', '3']","['1', '0']","['2', '0', '4', '0', '5', '1']",[],[],3.19
09.01.2024,Ficovich J. P.,1,,,,,,6,5,59%,51% (24/47),56% (18/32),40% (4/10),34% (16/47),53% (18/34),80% (4/5),53% (42/79),42% (34/81),48% (76/160),3,2,54% (7/13),31% (4/13),42% (11/26),"['3', '3']","['1', '1', '5', '3']","['1', '4']",[],[],1.33
08.01.2024,Descotte M. F.,2,,,,,,2,1,58%,74% (25/34),48% (12/25),67% (2/3),42% (14/33),74% (17/23),100% (5/5),63% (37/59),55% (31/56),59% (68/115),8,0,88% (7/8),56% (5/9),71% (12/17),"['2', '3', '5', '4']","['2', '1', '4', '1', '6', '1']",[],[],[],1.79
08.01.2024,Monzon I.,0,,,,,,1,5,59%,58% (19/33),26% (6/23),0% (0/5),26% (9/34),52% (13/25),33% (1/3),45% (25/56),37% (22/59),41% (47/115),2,0,44% (4/9),13% (1/8),29% (5/17),"['2', '0']",[],[],[],[],1.95
08.01.2024,Descotte M. F.,2,,,,,,7,4,62%,75% (43/57),51% (18/35),57% (4/7),42% (25/59),43% (19/44),36% (4/11),66% (61/92),43% (44/103),54% (105/195),7,1,80% (12/15),27% (4/15),53% (16/30),"['3', '4']","['3', '4']","['3', '1', '6', '2']",[],[],2.38
08.01.2024,Gulin S.,1,,,,,,3,7,57%,58% (34/59),57% (25/44),64% (7/11),25% (14/57),49% (17/35),43% (3/7),57% (59/103),34% (31/92),46% (90/195),3,0,73% (11/15),20% (3/15),47% (14/30),"['2', '0', '6', '4']","['3', '1']",[],[],[],1.55
27.11.2023,Ayeni A.,2,,,,,,10,11,65%,73% (44/60),48% (16/33),71% (5/7),36% (24/66),52% (11/21),67% (4/6),65% (60/93),40% (35/87),53% (95/180),86% (12/14),31% (4/13),59% (16/27),"['3', '3']","['3', '1']","['2', '1', '4', '1']",[],[],1.70
27.11.2023,Descotte M. F.,1,,,,,,2,1,76%,64% (42/66),48% (10/21),33% (2/6),27% (16/60),52% (17/33),29% (2/7),60% (52/87),35% (33/93),47% (85/180),69% (9/13),14% (2/14),41% (11/27),"['1', '0', '5', '4']",[],[],[],[],2.08
09.11.2023,Lingua Lavallen A. L.,1,,,,,,[],[],[],[],[],2.06
09.11.2023,Descotte M. F.,0,,,,,,[],[],[],[],[],1.68
07.11.2023,Descotte M. F.,2,,,,,,[],[],[],[],[],2.03
07.11.2023,Justo G. I.,0,,,,,,[],[],[],[],[],1.70
15.10.2023,Ayeni A.,2,,,,,,2,8,67%,63% (36/57),29% (8/28),54% (7/13),49% (34/70),50% (14/28),39% (7/18),52% (44/85),49% (48/98),50% (92/183),54% (7/13),54% (7/13),54% (14/26),"['1', '0', '3', '0', '4', '1', '5', '2']","['2', '5']","['2', '1', '5', '4']",[],[],2.96
15.10.2023,Descotte M. F.,1,,,,,,1,2,71%,51% (36/70),50% (14/28),61% (11/18),37% (21/57),71% (20/28),46% (6/13),51% (50/98),48% (41/85),50% (91/183),46% (6/13),46% (6/13),46% (12/26),"['1', '3', '2', '4']","['2', '0', '5', '1', '6', '2']","['3', '3']",[],[],1.37
