Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,379/291,195/154,179/130,5/7,-,-
2024,16/13,14/12,-,2/1,-,-
2023,40/30,37/25,3/5,-,-,-
2022,41/25,38/19,3/6,-,-,-
2021,31/20,5/5,24/14,2/1,-,-
2020,34/20,7/2,26/17,1/1,-,-
2019,12/17,3/7,9/7,0/3,-,-
2018,60/21,20/9,40/12,-,-,-
2017,37/28,13/10,24/18,-,-,-
2016,21/23,9/15,12/8,-,-,-
2015,29/26,14/10,15/15,0/1,-,-
2014,21/24,13/13,8/11,-,-,-
2013,23/23,14/13,9/10,-,-,-
2012,14/20,8/13,6/7,-,-,-
2011,0/1,0/1,-,-,-,-
