Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,54/27,23/13,18/9,6/2,-,7/3
2024,13/10,13/10,-,-,-,-
2023,35/13,9/2,13/6,6/2,-,7/3
2022,5/3,-,5/3,-,-,-
2021,1/1,1/1,-,-,-,-
