Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,88/70,17/20,43/26,20/19,-,8/5
2024,19/12,-,13/8,6/4,-,-
2023,13/9,-,8/5,4/2,-,1/2
2022,8/7,1/3,0/1,-,-,7/3
2021,15/4,5/4,10/0,-,-,-
2020,0/6,0/5,-,0/1,-,-
2019,2/1,-,2/1,-,-,-
2018,4/5,1/1,1/2,2/2,-,-
2017,8/9,-,7/7,1/2,-,-
2016,13/11,7/5,-,6/6,-,-
2015,6/6,3/2,2/2,1/2,-,-
