Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,34/27,-,27/23,-,5/2,2/2
2024,22/11,-,17/9,-,5/2,-
2023,6/12,-,6/12,-,-,-
2022,6/4,-,4/2,-,-,2/2
