Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,365/297,238/199,51/49,64/49,-,12/0
2024,1/3,1/3,-,-,-,-
2023,19/22,16/19,1/2,2/1,-,-
2022,47/28,35/25,0/2,0/1,-,12/0
2021,28/29,9/15,12/12,7/2,-,-
2020,11/10,0/2,3/2,8/6,-,-
2019,36/29,24/19,10/5,2/5,-,-
2018,42/20,42/16,0/4,-,-,-
2017,20/19,20/17,0/2,-,-,-
2016,46/16,45/15,1/1,-,-,-
2015,15/22,5/13,7/6,3/3,-,-
2014,6/14,3/9,0/1,3/4,-,-
2013,26/21,5/8,3/6,18/7,-,-
2012,37/22,15/11,14/6,8/5,-,-
2011,16/23,10/15,-,6/8,-,-
2010,14/15,7/9,-,7/6,-,-
2009,1/4,1/3,-,0/1,-,-
