Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,53/77,26/25,23/44,4/8,-,-
2024,14/14,8/5,3/7,3/2,-,-
2023,19/27,5/6,14/21,-,-,-
2022,12/18,9/7,3/10,0/1,-,-
2021,8/16,4/6,3/6,1/4,-,-
2020,0/2,0/1,-,0/1,-,-
