Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
10.07.,Grzegorzewski O.,2,,,,,,"['2', '0', '4', '0', '6', '2']",[],"['1', '0', '6', '5']",[],[],2.59
10.07.,Misasi G.,1,,,,,,"['1', '4']","['3', '2', '6', '3']","['4', '4']",[],[],1.45
02.07.,Casanova A.,2,,,,,,"['1', '0', '4', '3']","['4', '3']","['1', '0', '5', '4']",[],[],1.45
02.07.,Misasi G.,1,,,,,,"['3', '3']","['4', '4', '7', '5']","['1', '1']",[],[],2.59
26.06.,Popovic S.,2,,,,,,"['2', '0', '4', '2', '5', '5']","['2', '1', '4', '1']",[],[],[],-
26.06.,Misasi G.,0,,,,,,"['1', '2', '3', '4', '5', '4']",[],[],[],[],-
25.06.,Misasi G.,2,,,,,,[],"['5', '3']","['1', '0']",[],[],-
25.06.,Milic O.,1,,,,,,"['4', '2']",[],[],[],[],-
11.06.,Szymkowiak K.,2,,,,,,"['5', '5']","['2', '3', '6', '5']","['2', '1', '4', '1', '6', '1']",[],[],2.20
11.06.,Misasi G.,1,,,,,,"['3', '2']","['2', '0']",[],[],[],1.61
05.06.,Romano F.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '5', '2', '6', '3']",[],[],[],1.11
05.06.,Misasi G.,0,,,,,,[],"['3', '5']",[],[],[],5.45
04.06.,Misasi G.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '3', '0']",[],[],[],1.20
04.06.,Motta A.,0,,,,,,[],[],[],[],[],4.09
21.05.,George B. T.,1,,,,,,"['2', '0', '3', '3', '5', '3']",[],[],[],[],1.79
21.05.,Misasi G.,0,,,,,,"['1', '2', '3', '2']",[],[],[],[],1.91
15.05.,Stankovic S.,2,,,,,,"['3', '2']","['1', '0', '3', '0', '5', '0']","['1', '0', '2', '1']",[],[],1.39
15.05.,Misasi G.,1,,,,,,"['4', '4', '6', '4']",[],"['1', '1', '3', '3']",[],[],2.81
14.05.,Misasi G.,2,,,,,,"['1', '0', '3', '0']","['1', '0', '4', '1', '5', '2']",[],[],[],-
14.05.,Giraldi C.,0,,,,,,[],"['2', '4']",[],[],[],-
30.04.,Engel J.,2,,,,,,"['3', '1', '5', '1']","['2', '3', '5', '4']",[],[],[],1.09
30.04.,Misasi G.,0,,,,,,[],"['2', '0']",[],[],[],6.25
29.04.,Misasi G.,2,,,,,,"['2', '0', '6', '2']","['2', '0', '3', '1', '6', '2']",[],[],[],1.37
29.04.,Mencaglia S.,0,,,,,,[],"['1', '2']",[],[],[],2.89
26.03.,Marmousez L.,2,,,,,,"['2', '0', '4', '0']","['2', '1', '6', '3']",[],[],[],1.06
26.03.,Misasi G.,0,,,,,,[],[],[],[],[],7.20
04.03.,Vylegzhanin N.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0', '6', '0']",[],[],[],1.09
04.03.,Misasi G.,0,,,,,,[],[],[],[],[],6.15
05.02.,Tabacco F.,2,,,,,,[],"['2', '2', '4', '4', '6', '4']","['2', '0']",[],[],1.13
05.02.,Misasi G.,1,,,,,,"['3', '2']","['1', '0', '3', '2']",[],[],[],5.50
