Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,42/44,30/29,10/11,2/4,-,-
2024,12/18,7/11,5/7,-,-,-
2023,19/15,14/10,5/4,0/1,-,-
2022,11/9,9/6,-,2/3,-,-
2021,0/2,0/2,-,-,-,-
