Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
28.05.,Velcz Z.,2,,,,,,[],"['4', '2', '6', '2']","['2', '0', '5', '3']",[],[],2.62
28.05.,Madarasz G.,1,,,,,,"['3', '2', '5', '2']",[],"['1', '2', '4', '5']",[],[],1.44
18.05.,Ivanov I.,2,,,,,,"['3', '3', '7', '5']","['2', '2', '6', '4']",[],[],[],1.89
18.05.,Madarasz G.,0,,,,,,"['2', '1']","['2', '1']",[],[],[],1.81
17.05.,Madarasz G.,2,,,,,,"['6', '5']","['1', '0', '3', '0']",[],[],[],3.62
17.05.,Kellovsky D.,0,,,,,,[],"['1', '3', '4', '4']",[],[],[],1.25
16.05.,Madarasz G.,2,,,,,,"['1', '0', '3', '0']","['2', '1', '3', '2']",[],[],[],1.29
16.05.,Zarate C. M.,0,,,,,,"['1', '3']","['2', '2']",[],[],[],3.32
15.05.,Madarasz G.,2,,,,,,"['1', '0', '6', '5']","['2', '1', '4', '1', '6', '1']",[],[],[],2.10
15.05.,Barroso Campos A.,0,,,,,,"['2', '2']",[],[],[],[],1.67
14.05.,Madarasz G.,2,,,,,,"['3', '1', '5', '1']","['4', '3', '6', '3']",[],[],[],1.18
14.05.,Ambarzumjan E.,0,,,,,,[],[],[],[],[],4.38
01.05.,Ayeni A.,2,,,,,,"['6', '4']","['2', '0', '6', '2']",[],[],[],1.68
01.05.,Madarasz G.,0,,,,,,[],[],[],[],[],2.09
30.04.,Madarasz G.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '2', '1', '4', '1']",[],[],[],1.08
30.04.,Garcia Longo N.,0,,,,,,[],"['1', '1']",[],[],[],6.50
26.03.,Madarasz G.,2,,,,,,"['1', '0', '2', '1', '3', '2']","['1', '1', '3', '1', '6', '4']","['2', '0', '5', '1', '6', '2']",[],[],2.28
26.03.,Obradovic D.,1,,,,,,"['1', '1', '2', '2', '3', '3', '5', '3']","['1', '0', '4', '5']","['2', '5']",[],[],1.57
21.03.,Popovic S.,2,,,,,,"['4', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],-
21.03.,Madarasz G.,0,,,,,,[],"['1', '5', '3', '5']",[],[],[],-
20.03.,Madarasz G.,2,,,,,,"['1', '0']","['1', '0', '2', '1', '4', '1']",[],[],[],1.83
20.03.,Battiston A.,0,,,,,,[],"['1', '1']",[],[],[],1.87
19.03.,Madarasz G.,2,,,,,,"['3', '4']","['1', '1', '4', '2', '5', '3']",[],[],[],1.09
19.03.,Kajin K.,0,,,,,,"['4', '2']","['1', '0', '3', '4']",[],[],[],6.15
12.03.,Malesevic N.,2,,,,,,"['3', '1']","['1', '0', '4', '3', '6', '3']",[],[],[],2.08
12.03.,Madarasz G.,0,,,,,,[],"['2', '2']",[],[],[],1.69
22.01.,Marionneau L.,2,,,,,,"['2', '2', '5', '3']","['1', '0', '4', '3', '6', '3']",[],[],[],2.33
22.01.,Madarasz G.,0,,,,,,"['2', '1']","['2', '2']",[],[],[],1.55
14.11.2024,Vasami J.,2,,,,,,"['2', '1', '5', '4']","['3', '3', '5', '3']",[],[],[],2.00
14.11.2024,Madarasz G.,0,,,,,,"['4', '4', '5', '5']","['1', '0']",[],[],[],1.72
07.11.2024,Pennaforti G.,2,,,,,,"['2', '0', '4', '2']","['2', '1', '4', '1', '6', '1']",[],[],[],1.10
07.11.2024,Madarasz G.,0,,,,,,"['2', '3']",[],[],[],[],6.12
04.11.2024,Madarasz G.,2,,,,,,"['3', '1', '5', '3']",[],[],[],[],2.35
04.11.2024,Egea F. E.,0,,,,,,"['2', '3']",[],[],[],[],1.54
27.10.2024,Ionel N. D.,2,,,,,,"['1', '2', '3', '2', '4', '5']","['2', '0', '5', '1']","['3', '2', '5', '2']",[],[],1.32
27.10.2024,Madarasz G.,1,,,,,,"['2', '0', '3', '3', '5', '3']",[],[],[],[],3.14
26.10.2024,Madarasz G.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '0', '4', '0', '6', '0']",[],[],[],1.64
26.10.2024,Kukasian A.,0,,,,,,[],[],[],[],[],2.14
25.10.2024,Madarasz G.,2,,,,,,[],"['6', '4']",[],[],[],2.85
25.10.2024,Paz J. P.,1,,,,,,"['2', '0', '4', '0']",[],[],[],[],1.38
24.10.2024,Madarasz G.,2,,,,,,"['2', '1']","['2', '1', '6', '3']",[],[],[],-
24.10.2024,Bogomolov A.,0,,,,,,[],[],[],[],[],-
