Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,41/31,40/30,1/1,-,-,-
2024,4/7,3/6,1/1,-,-,-
2023,24/17,24/17,-,-,-,-
2022,13/7,13/7,-,-,-,-
