Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
03.10.2024,Nijboer R.,2,,,,,,"['4', '2']","['1', '0', '6', '3']",[],[],[],1.15
03.10.2024,Colas Sanchez Al.,0,,,,,,[],[],[],[],[],4.49
01.10.2024,Colas Sanchez Al.,2,,,,,,"['1', '0', '3', '0', '5', '0']",[],"['1', '0', '3', '0']",[],[],2.53
01.10.2024,Pujol Navarro B.,1,,,,,,[],"['2', '0', '6', '2']",[],[],[],1.47
03.08.2023,Mridha J.,2,,,,,,"['2', '0', '3', '1']",[],"['4', '2']",[],[],1.43
03.08.2023,Colas Sanchez Al.,1,,,,,,"['1', '2']","['5', '3']",[],[],[],2.67
02.08.2023,Colas Sanchez Al.,2,,,,,,"['1', '2', '3', '2', '5', '2']","['1', '0', '4', '1']",[],[],[],1.97
02.08.2023,Stater A.,0,,,,,,"['2', '0']",[],[],[],[],1.75
09.07.2019,Okala J.,2,,,,,,"['2', '0', '6', '2']","['6', '4']",[],[],[],1.07
09.07.2019,Colas Sanchez Al.,0,,,,,,[],[],[],[],[],7.90
04.07.2019,Artunedo Martinavarro A.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '4', '1', '6', '1']",[],[],[],1.11
04.07.2019,Colas Sanchez Al.,0,,,,,,[],[],[],[],[],6.20
02.07.2019,Colas Sanchez Al.,2,,,,,,"['1', '0', '4', '3', '6', '3']","['2', '0', '4', '2', '6', '2']",[],[],[],-
02.07.2019,Lopez M.,0,,,,,,"['1', '1']","['2', '3']",[],[],[],-
29.05.2019,Moreno F.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '0']",[],[],[],2.29
29.05.2019,Colas Sanchez Al.,0,,,,,,[],"['1', '3']",[],[],[],1.56
15.05.2019,Meligeni Alves F.,2,,,,,,"['2', '1', '3', '2', '5', '2']","['1', '2', '4', '5']",[],[],[],1.18
15.05.2019,Colas Sanchez Al.,0,,,,,,"['2', '2']","['2', '0', '5', '3']",[],[],[],4.44
08.05.2019,Coppini A.,2,,,,,,[],"['2', '0', '3', '1', '5', '1']","['3', '2', '5', '2']",[],[],3.20
08.05.2019,Colas Sanchez Al.,1,,,,,,"['4', '3']","['1', '2']",[],[],[],1.34
02.05.2019,Correia J.,2,,,,,,"['2', '2', '5', '5']","['3', '3', '5', '3']","['3', '2']",[],[],1.50
02.05.2019,Colas Sanchez Al.,1,,,,,,"['1', '0', '4', '3', '6', '5']","['3', '2']","['3', '3']",[],[],2.53
30.04.2019,Colas Sanchez Al.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],-
30.04.2019,Sierra Malinowska A.,0,,,,,,[],[],[],[],[],23.00
19.03.2019,Chepelev A.,2,,,,,,"['1', '2', '3', '2']","['5', '5', '7', '5']","['4', '2', '6', '2']",[],[],2.15
19.03.2019,Colas Sanchez Al.,1,,,,,,"['2', '0', '3', '3', '5', '3']","['4', '3']",[],[],[],1.64
17.01.2019,Cerundolo F.,2,,,,,,[],[],[],[],[],1.28
17.01.2019,Colas Sanchez Al.,0,,,,,,[],[],[],[],[],3.56
16.01.2019,Colas Sanchez Al.,2,,,,,,[],[],[],[],[],1.33
16.01.2019,Winter Lopez B.,0,,,,,,[],[],[],[],[],3.24
09.01.2019,Simonsson F.,2,,,,,,[],[],[],[],[],1.90
09.01.2019,Colas Sanchez Al.,1,,,,,,[],[],[],[],[],1.87
05.10.2018,Esteve L. E.,2,,,,,,[],[],[],[],[],1.14
05.10.2018,Colas Sanchez Al.,0,,,,,,[],[],[],[],[],5.00
04.10.2018,Colas Sanchez Al.,2,,,,,,[],[],[],[],[],2.64
04.10.2018,Sanchez Izquierdo N.,0,,,,,,[],[],[],[],[],1.46
03.10.2018,Colas Sanchez Al.,2,,,,,,[],[],[],[],[],3.10
03.10.2018,Giner M.,1,,,,,,[],[],[],[],[],1.30
01.10.2018,Colas Sanchez Al.,2,,,,,,[],[],[],[],[],1.51
01.10.2018,Trapeznikov Z.,0,,,,,,[],[],[],[],[],2.41
15.02.2018,Esteve L. E.,2,,,,,,[],[],[],[],[],1.13
15.02.2018,Colas Sanchez Al.,0,,,,,,[],[],[],[],[],5.60
