Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,30/18,27/16,-,-,-,3/2
2024,27/13,24/11,-,-,-,3/2
2023,3/4,3/4,-,-,-,-
2022,0/1,0/1,-,-,-,-
