Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.08.,Damas M.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['3', '1', '6', '2']",[],[],[],1.17
27.08.,Winter Lopez B.,0,,,,,,[],[],[],[],[],4.48
26.08.,Winter Lopez B.,2,,,,,,"['1', '0', '2', '1', '3', '4']","['4', '3']","['1', '0', '4', '1', '6', '1']",[],[],1.07
26.08.,Martinez M.,1,,,,,,"['1', '1', '2', '2', '4', '2', '6', '4']",[],[],[],[],6.95
23.08.,Barranco Cosano J.,1,,,,,,"['1', '0', '3', '0', '5', '0']","['2', '1']",[],[],[],1.19
23.08.,Winter Lopez B.,0,,,,,,[],[],[],[],[],4.23
22.08.,Winter Lopez B.,2,,,,,,"['1', '2', '3', '2', '6', '3']",[],"['1', '0', '3', '0', '4', '1']",[],[],4.67
22.08.,Sanchez Jover C.,1,,,,,,"['2', '0']","['2', '1', '6', '3']","['1', '3']",[],[],1.16
21.08.,Winter Lopez B.,2,,,,,,"['3', '1']","['2', '3']","['3', '1', '4', '2']",[],[],3.23
21.08.,Lopez Montagud C.,1,,,,,,[],"['3', '1', '4', '2']","['2', '3']",[],[],1.34
19.08.,Winter Lopez B.,2,,,,,,"['2', '1', '4', '3', '6', '5']","['1', '0', '3', '0']",[],[],[],1.14
19.08.,Peiro Serrano A.,0,,,,,,"['2', '2', '5', '5']",[],[],[],[],5.00
12.08.,Nijboer R.,2,,,,,,"['2', '2', '6', '4']","['2', '0', '4', '0']",[],[],[],19.0
12.08.,Winter Lopez B.,0,,,,,,"['1', '0']",[],[],[],[],1.69
17.07.,Helguera Casado L.,0,,,,,,"['2', '0']",[],[],[],[],4.43
17.07.,Winter Lopez B.,0,,,,,,[],[],[],[],[],1.18
16.07.,Winter Lopez B.,2,,,,,,"['1', '0']","['4', '2', '6', '2']",[],[],[],3.79
16.07.,Brancaccio R.,0,,,,,,"['4', '4']",[],[],[],[],1.23
12.06.,Chidekh C.,2,,,,,,"['2', '1', '4', '3']","['2', '3', '6', '5']",[],[],[],1.14
12.06.,Winter Lopez B.,0,,,,,,"['2', '2']","['3', '1']",[],[],[],4.95
10.06.,Winter Lopez B.,2,,,,,,"['3', '2', '5', '4']","['2', '1', '5', '2']",[],[],[],2.69
