Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
11.07.,Scomparin P. R.,2,,,,,,"['1', '0']","['3', '4']","['2', '0', '5', '1']",[],[],-
11.07.,Ludoski Z.,1,,,,,,[],"['3', '1', '5', '3']",[],[],[],-
10.07.,Ludoski Z.,2,,,,,,"['3', '3', '5', '5']","['3', '2']","['2', '0', '4', '0', '6', '0']",[],[],-
10.07.,Hess S.,1,,,,,,"['2', '1', '5', '4']","['3', '3', '5', '3']",[],[],[],-
06.07.,Ludoski Z.,2,,,,,,"['2', '0', '3', '1', '5', '5']","['2', '1', '4', '3']",[],[],[],2.13
06.07.,Klok D.,0,,,,,,"['1', '2', '2', '3', '5', '4']","['2', '2']",[],[],[],1.65
05.07.,Ludoski Z.,2,,,,,,"['3', '1', '6', '2']","['4', '2', '6', '4']",[],[],[],2.26
05.07.,Obradovic D.,0,,,,,,[],"['3', '4']",[],[],[],1.58
04.07.,Ludoski Z.,2,,,,,,"['3', '1']","['2', '1', '6', '3']",[],[],[],-
04.07.,Popovic S.,0,,,,,,[],[],[],[],[],-
03.07.,Ludoski Z.,2,,,,,,[],"['3', '4', '5', '4']","['1', '0', '5', '2']",[],[],-
03.07.,Milev Y.,1,,,,,,"['4', '3', '6', '3']","['2', '0']",[],[],[],-
02.07.,Ludoski Z.,2,,,,,,"['7', '5']","['4', '4']",[],[],[],-
02.07.,Pisaric A.,0,,,,,,[],"['2', '1']",[],[],[],-
12.06.,Obradovic D.,2,,,,,,[],"['2', '2', '4', '2', '6', '2']","['3', '3', '7', '5']",[],[],-
12.06.,Ludoski Z.,1,,,,,,"['5', '3']","['1', '0']","['1', '0']",[],[],-
11.06.,Ludoski Z.,2,,,,,,"['1', '2', '3', '2', '5', '2']","['1', '0', '2', '1', '4', '1', '5', '2']",[],[],[],-
11.06.,Safonov A.,0,,,,,,"['2', '0']","['1', '1', '2', '4']",[],[],[],-
07.08.2024,Lerby C.,0,,,,,,[],[],[],[],[],2.03
07.08.2024,Ludoski Z.,0,,,,,,[],[],[],[],[],1.71
02.08.2024,La Serna J. M.,2,,,,,,"['3', '3', '5', '3']","['1', '0', '3', '0', '6', '1']",[],[],[],1.32
02.08.2024,Ludoski Z.,0,,,,,,"['1', '0']",[],[],[],[],3.18
01.08.2024,Ludoski Z.,2,,,,,,"['2', '5']","['1', '0', '3', '0', '6', '1']","['7', '5']",[],[],3.51
01.08.2024,Pawelski M.,1,,,,,,"['3', '1', '5', '1', '6', '2']",[],[],[],[],1.27
31.07.2024,Ludoski Z.,1,,,,,,"['4', '3']","['1', '0', '3', '0']",[],[],[],1.73
31.07.2024,Michalik R.,0,,,,,,[],[],[],[],[],2.00
20.09.2023,Chepelev A.,2,,,,,,[],[],[],[],[],1.12
20.09.2023,Ludoski Z.,1,,,,,,[],[],[],[],[],5.63
13.09.2023,Pennaforti G.,2,,,,,,[],[],[],[],[],1.19
13.09.2023,Ludoski Z.,0,,,,,,[],[],[],[],[],4.28
01.06.2023,Exsted M.,2,,,,,,"['1', '3', '3', '3', '5', '3', '6', '4']","['2', '2', '4', '2', '6', '2']",[],[],[],-
01.06.2023,Ludoski Z.,0,,,,,,"['1', '0', '3', '0', '4', '5']","['2', '1']",[],[],[],-
23.05.2023,Vincent Ruggeri S.,2,,,,,,[],[],[],[],[],1.05
23.05.2023,Ludoski Z.,1,,,,,,[],[],[],[],[],8.00
03.05.2023,Chepelev A.,2,,,,,,[],[],[],[],[],1.03
03.05.2023,Ludoski Z.,0,,,,,,[],[],[],[],[],10.50
23.01.2023,Dzhenev A.,2,,,,,,"['1', '1', '3', '3', '4', '4', '7', '5']",[],[],[],[],-
23.01.2023,Ludoski Z.,0,,,,,,"['1', '0', '3', '2', '4', '3']",[],[],[],[],-
