Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,142/115,61/50,45/26,34/34,2/5,-
2024,19/19,8/5,10/9,0/1,1/4,-
2023,41/36,8/13,20/10,12/12,1/1,-
2022,33/20,11/10,5/2,17/8,-,-
2021,34/25,27/14,3/3,4/8,-,-
2020,10/11,2/4,7/2,1/5,-,-
2019,2/2,2/2,-,-,-,-
2018,3/2,3/2,-,-,-,-
