Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,152/136,131/105,11/14,10/17,-,-
2024,29/26,27/19,1/3,1/4,-,-
2023,35/33,30/25,1/1,4/7,-,-
2022,37/26,28/16,4/4,5/6,-,-
2021,29/20,26/18,3/2,-,-,-
2020,7/9,5/5,2/4,-,-,-
2019,6/14,6/14,-,-,-,-
2018,9/8,9/8,-,-,-,-
