Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,62/79,49/60,9/11,2/3,0/1,2/4
2024,29/34,29/34,-,-,-,-
2023,23/32,15/19,5/7,1/1,0/1,2/4
2022,9/11,4/5,4/4,1/2,-,-
2021,0/1,0/1,-,-,-,-
2020,1/1,1/1,-,-,-,-
