Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,172/124,144/101,27/23,-,-,1/0
2024,1/2,1/1,0/1,-,-,-
2023,30/25,26/21,3/4,-,-,1/0
2022,36/23,32/20,4/3,-,-,-
2021,14/10,11/7,3/3,-,-,-
2019,42/33,28/23,14/10,-,-,-
2018,41/25,38/23,3/2,-,-,-
2017,8/6,8/6,-,-,-,-
