Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,458/290,153/96,156/89,120/87,29/18,-
2024,34/28,6/8,9/8,5/6,14/6,-
2023,61/39,7/8,27/15,16/9,11/7,-
2022,64/47,10/9,23/13,29/22,2/3,-
2021,76/35,39/15,13/5,24/15,-,-
2020,56/34,8/3,19/10,29/21,-,-
2019,23/13,-,23/13,-,-,-
2018,27/25,19/16,4/5,3/3,1/1,-
2017,61/34,32/20,26/13,3/1,-,-
2016,22/17,17/10,2/4,3/3,-,-
2015,28/14,15/6,4/1,8/6,1/1,-
2014,3/3,0/1,3/1,0/1,-,-
2013,3/1,-,3/1,-,-,-
