Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,79/61,39/31,25/21,-,-,15/9
2024,22/21,12/10,10/11,-,-,-
2023,21/18,13/9,3/5,-,-,5/4
2022,26/8,11/5,11/3,-,-,4/0
2020,1/1,-,1/1,-,-,-
2019,5/4,2/3,0/1,-,-,3/0
2018,2/1,-,-,-,-,2/1
2017,2/2,1/2,-,-,-,1/0
2016,0/4,-,-,-,-,0/4
2014,0/2,0/2,-,-,-,-
