Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,31/28,-,26/17,2/4,3/7,-
2024,12/5,-,12/3,0/1,0/1,-
2023,6/7,-,5/5,-,1/2,-
2022,13/15,-,9/9,2/3,2/3,-
2021,0/1,-,-,-,0/1,-
