Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,498/318,286/141,112/95,79/63,13/15,8/4
2024,8/10,5/6,0/1,3/3,-,-
2023,7/15,4/8,2/5,1/2,-,-
2022,20/17,7/6,5/7,3/2,5/2,-
2021,20/23,11/9,5/6,4/6,0/1,0/1
2020,26/15,12/5,8/5,6/5,-,-
2019,46/21,19/5,12/8,10/5,1/2,4/1
2018,14/17,-,9/10,5/6,0/1,-
2017,71/22,51/12,3/2,17/7,0/1,-
2016,17/12,14/7,0/3,3/2,-,-
2015,47/31,28/11,8/9,6/5,4/4,1/2
2014,54/24,26/8,16/7,6/7,3/2,3/0
2013,51/22,40/16,7/4,4/2,-,-
2012,21/13,14/8,6/2,1/2,0/1,-
2011,2/4,2/4,-,-,-,-
2010,23/26,16/14,5/7,2/4,0/1,-
2009,34/25,25/16,9/6,0/3,-,-
2008,37/21,12/6,17/13,8/2,-,-
