Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,222/128,217/115,5/9,-,0/4,-
2024,28/22,27/14,1/5,-,0/3,-
2023,41/23,41/21,0/1,-,0/1,-
2022,44/25,44/24,0/1,-,-,-
2021,40/24,40/24,-,-,-,-
2020,23/8,19/6,4/2,-,-,-
2019,30/16,30/16,-,-,-,-
2018,13/8,13/8,-,-,-,-
2017,3/2,3/2,-,-,-,-
