Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.08.,Berrettini J.,2,,,,,,2,1,55%,71% (25/35),52% (15/29),60% (3/5),47% (21/45),40% (10/25),44% (4/9),63% (40/64),44% (31/70),53% (71/134),8,0,80% (8/10),40% (4/10),60% (12/20),"['2', '3', '4', '3']","['2', '3', '5', '4']",[],[],[],2.01
27.08.,Carboni L.,0,,,,,,3,1,64%,53% (24/45),60% (15/25),56% (5/9),29% (10/35),48% (14/29),40% (2/5),56% (39/70),38% (24/64),47% (63/134),2,0,60% (6/10),20% (2/10),40% (8/20),"['2', '0']","['2', '0']",[],[],[],1.73
26.08.,Berrettini J.,2,,,,,,2,2,60%,66% (33/50),52% (17/33),33% (1/3),31% (17/54),60% (21/35),29% (4/14),60% (50/83),43% (38/89),51% (88/172),7,0,83% (10/12),31% (4/13),56% (14/25),[],"['1', '0', '4', '1']","['2', '1', '6', '3']",[],[],1.74
26.08.,Ambrogi L. E.,1,,,,,,5,1,61%,69% (37/54),40% (14/35),71% (10/14),34% (17/50),48% (16/33),67% (2/3),57% (51/89),40% (33/83),49% (84/172),3,0,69% (9/13),17% (2/12),44% (11/25),"['2', '0', '6', '2']",[],[],[],[],2.00
19.08.,Gadamauri B.,2,,,,,,8,5,55%,77% (51/66),59% (32/54),60% (3/5),22% (16/73),51% (32/63),33% (2/6),39,59,71% (5/7),69% (82/119),35% (48/136),51% (130/255),8,0,89% (16/18),11% (2/18),50% (18/36),[],[],"['2', '2', '6', '6']",[],[],1.64
19.08.,Berrettini J.,1,,,,,,3,12,54%,78% (57/73),49% (31/63),67% (4/6),23% (15/66),41% (22/54),40% (2/5),31,69,56% (9/16),65% (88/136),31% (37/119),49% (125/255),2,0,89% (16/18),11% (2/18),50% (18/36),[],[],"['1', '0', '6', '5']",[],[],20.5
29.07.,Dedura D.,2,,,,,,1,2,72%,60% (38/63),42% (10/24),50% (5/10),46% (24/52),63% (25/40),40% (8/20),55% (48/87),53% (49/92),54% (97/179),7,0,64% (9/14),57% (8/14),61% (17/28),"['2', '0', '3', '1', '5', '1']","['1', '0', '3', '4', '5', '4']","['4', '3', '6', '3']",[],[],1.87
29.07.,Berrettini J.,1,,,,,,4,4,57%,54% (28/52),38% (15/40),60% (12/20),40% (25/63),58% (14/24),50% (5/10),47% (43/92),45% (39/87),46% (82/179),3,0,43% (6/14),36% (5/14),39% (11/28),"['1', '2']","['1', '1', '4', '2', '5', '5', '7', '5']",[],[],[],1.85
18.07.,Perez Contri S.,2,,,,,,"['2', '3']","['2', '0', '4', '2']","['1', '0', '3', '0', '6', '5']",[],[],2.35
18.07.,Berrettini J.,1,,,,,,"['2', '0', '5', '3']","['1', '2']","['1', '3', '3', '3', '6', '6']",[],[],1.54
17.07.,Berrettini J.,2,,,,,,"['3', '1', '6', '2']","['4', '2', '6', '2']",[],[],[],1.03
17.07.,Jimenez A.,0,,,,,,[],[],[],[],[],8.70
16.07.,Berrettini J.,2,,,,,,"['1', '1']","['2', '0', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],1.03
16.07.,Pop D. F.,1,,,,,,"['1', '0', '5', '4']",[],[],[],[],8.80
05.07.,Hemery C.,2,,,,,,3,7,56%,71% (27/38),53% (16/30),33% (1/3),41% (16/39),50% (22/44),27% (4/15),63% (43/68),46% (38/83),54% (81/151),6,0,82% (9/11),36% (4/11),59% (13/22),"['2', '2', '4', '2', '7', '5']","['6', '4']",[],[],[],1.66
05.07.,Berrettini J.,0,,,,,,6,4,47%,59% (23/39),50% (22/44),73% (11/15),29% (11/38),47% (14/30),67% (2/3),54% (45/83),37% (25/68),46% (70/151),4,2,64% (7/11),18% (2/11),41% (9/22),"['1', '0', '4', '5']",[],[],[],[],2.14
04.07.,Berrettini J.,2,,,,,,8,2,54%,79% (30/38),64% (21/33),67% (2/3),22% (7/32),50% (18/36),33% (2/6),72% (51/71),37% (25/68),55% (76/139),6,0,91% (10/11),20% (2/10),57% (12/21),"['4', '2']","['3', '2']",[],[],[],2.04
04.07.,Gombos N.,0,,,,,,1,5,47%,78% (25/32),50% (18/36),67% (4/6),21% (8/38),36% (12/33),33% (1/3),63% (43/68),28% (20/71),45% (63/139),4,0,80% (8/10),9% (1/11),43% (9/21),[],"['4', '4']",[],[],[],1.78
02.07.,Berrettini J.,2,,,,,,6,6,52%,83% (39/47),44% (19/43),78% (7/9),20% (7/35),44% (16/36),60% (3/5),64% (58/90),32% (23/71),50% (81/161),6,0,87% (13/15),21% (3/14),55% (16/29),[],"['2', '2', '6', '4']","['4', '2']",[],[],1.58
02.07.,Faurel T.,1,,,,,,4,3,49%,80% (28/35),56% (20/36),40% (2/5),17% (8/47),56% (24/43),22% (2/9),68% (48/71),36% (32/90),50% (80/161),4,0,79% (11/14),13% (2/15),45% (13/29),"['5', '4']","['2', '1']",[],[],[],2.29
30.06.,Berrettini J.,2,,,,,,5,5,58%,80% (40/50),61% (22/36),100% (3/3),18% (7/40),48% (21/44),0% (0/2),72% (62/86),33% (28/84),53% (90/170),7,0,100% (12/12),0% (0/12),50% (12/24),[],[],[],[],[],1.31
30.06.,Rosenkranz M.,0,,,,,,9,6,48%,83% (33/40),52% (23/44),100% (2/2),20% (10/50),39% (14/36),0% (0/3),67% (56/84),28% (24/86),47% (80/170),3,0,100% (12/12),0% (0/12),50% (12/24),[],[],[],[],[],3.27
25.06.,Prizmic D.,2,,,,,,2,5,48%,73% (16/22),54% (13/24),60% (3/5),65% (13/20),62% (13/21),86% (6/7),63% (29/46),63% (26/41),63% (55/87),9,0,75% (6/8),86% (6/7),80% (12/15),"['2', '0', '3', '1', '5', '1']","['1', '0', '3', '2', '5', '2']",[],[],[],1.18
25.06.,Berrettini J.,0,,,,,,0,3,49%,35% (7/20),38% (8/21),14% (1/7),27% (6/22),46% (11/24),40% (2/5),37% (15/41),37% (17/46),37% (32/87),1,0,14% (1/7),25% (2/8),20% (3/15),"['1', '2']","['2', '2']",[],[],[],4.56
24.06.,Berrettini J.,1,,,,,,4,2,62%,70% (16/23),64% (9/14),0% (0/1),21% (5/24),56% (15/27),17% (1/6),68% (25/37),39% (20/51),51% (45/88),6,0,83% (5/6),17% (1/6),50% (6/12),"['2', '1']",[],[],[],[],1.89
