Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,369/246,219/123,78/52,67/66,4/5,1/0
2024,38/18,25/8,7/5,5/4,1/1,-
2023,28/30,13/11,6/8,9/9,0/2,-
2022,36/27,11/11,6/5,15/9,3/2,1/0
2021,25/23,20/14,1/4,4/5,-,-
2020,25/13,12/7,12/5,1/1,-,-
2019,40/26,11/7,21/13,8/6,-,-
2018,44/17,23/4,19/9,2/4,-,-
2017,14/6,10/4,-,4/2,-,-
2016,5/5,5/2,0/1,0/2,-,-
2015,4/3,-,4/1,0/2,-,-
2014,13/6,8/3,2/1,3/2,-,-
2013,45/26,36/16,-,9/10,-,-
2012,12/14,10/10,-,2/4,-,-
2011,34/19,29/13,-,5/6,-,-
2010,4/5,4/5,-,-,-,-
2009,2/8,2/8,-,-,-,-
