Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,272/149,235/112,28/30,4/5,-,5/2
2024,37/23,34/16,1/6,2/1,-,-
2023,41/27,37/20,4/6,-,-,0/1
2022,56/24,56/24,-,-,-,-
2021,47/25,47/20,0/3,0/2,-,-
2020,42/17,29/11,7/3,2/2,-,4/1
2019,40/22,26/13,14/9,-,-,-
2018,6/8,3/5,2/3,-,-,1/0
2017,3/3,3/3,-,-,-,-
