Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,109/105,21/25,84/77,4/3,-,-
2024,17/16,4/5,13/11,-,-,-
2023,22/15,1/2,21/13,-,-,-
2020,1/3,1/3,-,-,-,-
2019,18/18,6/6,12/12,-,-,-
2018,16/21,3/3,13/18,-,-,-
2017,19/16,1/3,18/13,-,-,-
2016,16/16,5/3,7/10,4/3,-,-
