Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Beijing (China),hard,header
28.09. 08:40,Cocciaretto E.,1,4,7^8,3,,,0,6,64%,64% (43/67),24% (9/38),43% (6/14),30% (16/53),68% (30/44),50% (5/10),6,50% (52/105),47% (46/97),49% (98/202),4,50% (8/16),33% (5/15),42% (13/31),"['1', '0', '3', '0']","['1', '0', '3', '0', '4', '1']",[],[],[],3.00
28.09. 08:40,Mertens E.,2,6,6^6,6,,,10,9,55%,70% (37/53),32% (14/44),50% (5/10),36% (24/67),76% (29/38),57% (8/14),7,53% (51/97),50% (53/105),51% (104/202),6,67% (10/15),50% (8/16),58% (18/31),"['2', '4', '4', '4', '6', '4']","['1', '3', '2', '4', '4', '4']","['1', '0', '6', '3']",[],[],1.40
26.09. 10:25,Cocciaretto E.,2,4,6,6,,,0,1,74%,61% (43/70),42% (10/24),33% (3/9),39% (20/51),66% (21/32),70% (7/10),9,57% (51/90),49% (41/84),53% (92/174),4,60% (9/15),50% (7/14),55% (16/29),"['2', '2', '3', '3']","['1', '1', '4', '2', '6', '4']","['3', '3', '5', '3']",[],[],1.35
26.09. 10:25,Rodionova Ar.,1,6,4,3,,,1,3,61%,61% (31/51),34% (11/32),30% (3/10),39% (27/70),58% (14/24),67% (6/9),7,51% (43/84),43% (39/90),47% (82/174),4,50% (7/14),40% (6/15),45% (13/29),"['1', '0', '3', '2', '5', '4']","['1', '0', '4', '5']","['3', '2']",[],[],3.24
WTA - SINGLES :  US Open (USA),hard,header
30.08. 02:10,Cocciaretto E.,1,7,1,2,,,2,4,68%,47% (26/55),50% (13/26),30% (3/10),31% (20/65),61% (30/49),31% (4/13),12,30,56% (5/9),5,48% (39/81),44% (50/114),46% (89/195),5,46% (6/13),29% (4/14),37% (10/27),1376,"['1', '0', '4', '5', '6', '5']",[],"['1', '3']",[],[],2.63
30.08. 02:10,Pavlyuchenkova A.,2,5,6,6,,,4,8,57%,69% (45/65),39% (19/49),69% (9/13),53% (29/55),50% (13/26),70% (7/10),44,52,80% (16/20),8,56% (64/114),52% (42/81),54% (106/195),8,71% (10/14),54% (7/13),63% (17/27),1043,"['1', '1', '3', '1']","['3', '1', '5', '1']","['1', '0', '3', '0', '5', '2']",[],[],1.50
27.08. 22:55,Cocciaretto E.,2,6,6,,,,2,1,68%,67% (26/39),56% (10/18),75% (3/4),48% (12/25),85% (11/13),71% (5/7),15,19,71% (5/7),7,63% (36/57),61% (23/38),62% (59/95),7,88% (7/8),71% (5/7),80% (12/15),575,"['3', '1', '5', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.21
27.08. 22:55,Baindl K.,0,3,0,,,,0,4,66%,52% (13/25),15% (2/13),29% (2/7),38% (15/39),44% (8/18),25% (1/4),9,25,0% (0/3),4,39% (15/38),37% (21/57),38% (36/95),2,29% (2/7),13% (1/8),20% (3/15),594,"['2', '5']",[],[],[],[],4.54
WTA - SINGLES :  Monterrey (Mexico),hard,header
20.08. 09:55,Cocciaretto E.,0,6^6,1,,,,0,5,67%,60% (30/50),28% (7/25),29% (2/7),39% (26/66),50% (7/14),25% (2/8),4,49% (37/75),41% (33/80),45% (70/155),2,50% (5/10),22% (2/9),37% (7/19),"['1', '0', '3', '2']",[],[],[],[],2.00
20.08. 09:55,Avanesyan E.,2,7^8,6,,,,1,3,83%,61% (40/66),50% (7/14),75% (6/8),40% (20/50),72% (18/25),71% (5/7),5,59% (47/80),51% (38/75),55% (85/155),6,78% (7/9),50% (5/10),63% (12/19),"['2', '2', '3', '3']","['2', '1', '4', '1', '6', '1']",[],[],[],1.81
WTA - SINGLES :  Cincinnati (USA),hard,header
15.08. 22:40,Cocciaretto E.,0,3,4,,,,2,5,64%,67% (31/46),42% (11/26),80% (8/10),11% (4/38),52% (12/23),0% (0/3),4,58% (42/72),26% (16/61),44% (58/133),1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],6.05
15.08. 22:40,Sabalenka A.,2,6,6,,,,5,3,62%,89% (34/38),48% (11/23),100% (3/3),33% (15/46),58% (15/26),20% (2/10),5,74% (45/61),42% (30/72),56% (75/133),3,100% (10/10),22% (2/9),63% (12/19),"['4', '2']","['2', '1']",[],[],[],1.14
14.08. 02:25,Cocciaretto E.,2,7,4,6,,,2,6,70%,66% (49/74),55% (17/31),67% (6/9),25% (15/61),68% (23/34),29% (4/14),6,63% (66/105),40% (38/95),52% (104/200),3,81% (13/16),27% (4/15),55% (17/31),"['4', '4', '7', '5']","['3', '5']","['4', '2']",[],[],1.82
14.08. 02:25,Montgomery R.,1,5,6,3,,,9,12,64%,75% (46/61),32% (11/34),71% (10/14),34% (25/74),45% (14/31),33% (3/9),5,60% (57/95),37% (39/105),48% (96/200),4,73% (11/15),19% (3/16),45% (14/31),"['2', '1']","['3', '2', '5', '2']",[],[],[],2.02
WTA - SINGLES :  Toronto (Canada),hard,header
