Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,260/239,66/49,160/149,25/28,9/11,0/2
2024,19/26,1/4,15/17,0/1,3/4,-
2023,26/30,3/9,17/17,-,6/4,-
2022,32/25,10/5,18/17,4/3,-,-
2021,24/18,13/8,11/10,-,-,-
2020,0/1,-,-,-,-,0/1
2019,12/10,-,12/10,-,-,-
2018,10/26,2/5,6/15,2/2,0/3,0/1
2017,53/26,21/8,29/14,3/4,-,-
2016,17/21,6/4,11/14,0/3,-,-
2015,16/13,-,11/10,5/3,-,-
2014,13/9,-,12/8,1/1,-,-
2013,16/12,4/1,11/10,1/1,-,-
2012,10/9,0/1,7/5,3/3,-,-
2011,10/9,6/4,0/2,4/3,-,-
2010,2/3,-,-,2/3,-,-
2009,0/1,-,-,0/1,-,-
