Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
17.08.,Vukic A.,2,,,,,,8,1,60%,83% (25/30),70% (14/20),100% (3/3),31% (11/36),58% (15/26),30% (3/10),19,23,67% (2/3),78% (39/50),42% (26/62),58% (65/112),8,0,100% (9/9),33% (3/9),67% (12/18),"['6', '4']","['2', '0', '6', '2']",[],[],[],17.5
17.08.,Poling K.,0,,,,,,1,5,58%,69% (25/36),42% (11/26),70% (7/10),17% (5/30),30% (6/20),0% (0/3),10,23,20% (1/5),58% (36/62),22% (11/50),42% (47/112),2,0,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],1.47
16.08.,Poling K.,2,,,,,,4,6,66%,66% (49/74),53% (20/38),77% (10/13),31% (12/39),41% (13/32),100% (4/4),34,46,68% (19/28),62% (69/112),35% (23/65),52% (92/177),5,0,80% (12/15),29% (4/14),55% (16/29),"['2', '5']","['4', '4', '7', '5']","['4', '2']",[],[],-
16.08.,Kwiatkowski T. S.,1,,,,,,7,7,55%,69% (27/39),59% (19/32),0% (0/4),34% (25/74),47% (18/38),23% (3/13),24,33,67% (12/18),65% (42/65),38% (43/112),48% (85/177),5,0,71% (10/14),20% (3/15),45% (13/29),"['3', '1', '5', '1']","['2', '1']",[],[],[],-
14.08.,Mochizuki S.,2,,,,,,4,1,45%,83% (15/18),64% (14/22),67% (2/3),51% (18/35),67% (14/21),75% (6/8),17,20,82% (9/11),72% (28/39),57% (32/56),63% (60/95),7,0,86% (6/7),75% (6/8),80% (12/15),"['1', '2', '4', '3', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],18.5
14.08.,Poling K.,0,,,,,,2,2,63%,49% (17/35),33% (7/21),25% (2/8),50% (9/18),36% (8/22),33% (1/3),5,27,50% (2/4),43% (24/56),28% (11/39),37% (35/95),3,0,25% (2/8),14% (1/7),20% (3/15),"['2', '0']",[],[],[],[],1.57
13.08.,Poling K.,2,,,,,,5,3,72%,57% (34/60),43% (10/23),38% (3/8),22% (8/36),58% (19/33),67% (4/6),25,36,63% (10/16),53% (44/83),39% (27/69),47% (71/152),5,0,64% (9/14),31% (4/13),48% (13/27),[],"['1', '0', '2', '1', '5', '4']","['4', '3']",[],[],-
13.08.,Evans D.,1,,,,,,8,4,52%,78% (28/36),42% (14/33),33% (2/6),43% (26/60),57% (13/23),63% (5/8),30,29,71% (5/7),61% (42/69),47% (39/83),53% (81/152),5,0,69% (9/13),36% (5/14),52% (14/27),"['2', '1', '4', '1', '6', '1']","['1', '1', '2', '2']",[],[],[],-
12.08.,Damm M.,2,,,,,,14,2,70%,100% (30/30),54% (7/13),100% (1/1),30% (6/20),57% (13/23),100% (3/3),25,14,100% (2/2),86% (37/43),44% (19/43),65% (56/86),9,0,100% (9/9),38% (3/8),71% (12/17),"['3', '1', '6', '2']","['5', '3']",[],[],[],20.0
12.08.,Poling K.,0,,,,,,1,6,47%,70% (14/20),43% (10/23),0% (0/3),0% (0/30),46% (6/13),0% (0/1),9,14,67% (2/3),56% (24/43),14% (6/43),35% (30/86),1,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],1.71
11.08.,Poling K.,2,,,,,,2,1,69%,71% (42/59),59% (16/27),80% (8/10),32% (17/53),49% (19/39),25% (3/12),23,18,82% (9/11),67% (58/86),39% (36/92),50% (89/178),6,0,86% (12/14),21% (3/14),54% (15/28),[],[],[],[],[],1.71
11.08.,Stalder R.,1,,,,,,6,2,58%,68% (36/53),51% (20/39),75% (9/12),29% (17/59),41% (11/27),20% (2/10),26,42,62% (8/13),61% (56/92),33% (28/86),44% (79/178),4,0,79% (11/14),14% (2/14),46% (13/28),[],[],[],[],[],20.0
07.08.,George B. T.,1,,,,,,"['2', '4', '4', '4']","['3', '1', '4', '2', '6', '6']","['1', '0', '2', '1', '4', '1']",[],[],2.75
07.08.,Poling K.,1,,,,,,"['1', '0', '3', '0', '5', '4']","['2', '3', '3', '4', '6', '5']","['1', '1']",[],[],1.41
05.08.,Poling K.,2,,,,,,"['3', '1']","['1', '0', '3', '0', '4', '1']",[],[],[],1.84
05.08.,Clark E.,0,,,,,,[],"['1', '3']",[],[],[],1.86
29.07.,Kim A.,2,,,,,,[],"['4', '4', '5', '5', '7', '5']","['2', '0', '5', '1', '6', '2']",[],[],1.17
29.07.,Poling K.,1,,,,,,"['6', '5']","['4', '3', '5', '4']","['2', '5']",[],[],4.48
14.07.,van Wyk K.,2,,,,,,9,5,51%,75% (18/24),70% (16/23),0% (0/1),50% (15/30),53% (8/15),57% (4/7),15,16,50% (1/2),72% (34/47),51% (23/45),62% (57/92),8,0,89% (8/9),50% (4/8),71% (12/17),"['4', '2']","['1', '0', '3', '0', '5', '2']",[],[],[],2.11
14.07.,Poling K.,0,,,,,,1,0,67%,50% (15/30),47% (7/15),43% (3/7),25% (6/24),30% (7/23),100% (1/1),9,32,60% (3/5),49% (22/45),28% (13/47),38% (35/92),2,1,50% (4/8),11% (1/9),29% (5/17),[],"['2', '4']",[],[],[],1.68
09.07.,Weightman O.,2,,,,,,11,7,50%,79% (46/58),51% (30/59),64% (7/11),28% (19/67),36% (9/25),100% (2/2),35,58,71% (24/34),65% (76/117),30% (28/92),50% (104/209),7,0,76% (13/17),13% (2/16),45% (15/33),"['1', '2']",[],"['2', '1']",[],[],1.57
09.07.,Poling K.,1,,,,,,4,2,73%,72% (48/67),64% (16/25),0% (0/2),21% (12/58),49% (29/59),36% (4/11),26,38,80% (16/20),70% (64/92),35% (41/117),50% (105/209),3,1,88% (14/16),24% (4/17),55% (18/33),"['2', '0']","['2', '1', '6', '3']","['5', '5']",[],[],2.42
03.07.,Arseneault N.,2,,,,,,"['2', '2', '5', '5']","['1', '0', '4', '1', '6', '1']",[],[],[],1.95
03.07.,Poling K.,0,,,,,,"['2', '1', '5', '4']",[],[],[],[],1.76
02.07.,Poling K.,2,,,,,,"['2', '2', '6', '4']","['2', '0', '5', '1', '6', '2']",[],[],[],1.44
02.07.,Muamba N.,0,,,,,,"['1', '0']","['2', '5']",[],[],[],2.62
18.06.,De Boes M.,2,,,,,,"['4', '2', '7', '5']","['3', '1', '5', '3']",[],[],[],7.80
18.06.,Poling K.,0,,,,,,"['4', '5']","['3', '4']",[],[],[],1.05
11.06.,Waldner N.,2,,,,,,"['1', '1']","['5', '5', '7', '5']","['3', '1']",[],[],5.55
11.06.,Poling K.,1,,,,,,"['1', '0', '2', '1', '4', '1']","['3', '2']",[],[],[],1.11
21.05.,Added D.,2,,,,,,"['2', '2', '5', '5']","['3', '2']","['2', '1', '4', '1', '6', '1']",[],[],1.58
21.05.,Poling K.,1,,,,,,"['1', '0', '5', '4']",[],[],[],[],2.26
18.05.,Gentzsch T.,2,,,,,,"['1', '0']","['3', '2']",[],[],[],1.36
18.05.,Poling K.,0,,,,,,[],[],[],[],[],2.94
17.05.,Poling K.,2,,,,,,[],"['1', '0', '5', '2']",[],[],[],1.45
17.05.,Aubriot A.,0,,,,,,[],[],[],[],[],2.59
16.05.,Poling K.,2,,,,,,"['3', '2']","['5', '4']",[],[],[],-
16.05.,Jorgensen S. G.,0,,,,,,[],[],[],[],[],-
15.05.,Poling K.,2,,,,,,"['2', '0', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],[],1.08
15.05.,Lazaro Juncadella M.,0,,,,,,[],[],[],[],[],6.35
14.05.,Poling K.,2,,,,,,[],"['4', '2', '5', '3']","['3', '2', '5', '2']",[],[],-
14.05.,Strom G.,1,,,,,,"['1', '0', '4', '1']","['3', '4']",[],[],[],-
24.04.,Brown P.,2,,,,,,"['2', '0', '3', '3', '5', '3']","['3', '4', '5', '4']",[],[],[],8.20
24.04.,Poling K.,0,,,,,,"['1', '2', '3', '2']","['2', '0']",[],[],[],1.04
23.04.,Poling K.,2,,,,,,"['5', '4']","['1', '0', '3', '0', '6', '3']",[],[],[],1.33
23.04.,Ponwith N.,0,,,,,,[],"['2', '4']",[],[],[],3.09
